,0
104,"Carex albolutescens, Coastal Plain NC Ecotype"
105,"Carex comosa, PA Ecotype"
106,"Carex crinita, PA Ecotype"
107,"Carex frankii, PA Ecotype"
108,"Carex granularis var. haleana, PA Ecotype"
109,"Carex grayi, PA Ecotype"
110,"Carex gynandra, PA Ecotype"
111,"Carex intumescens, PA Ecotype"
112,"Carex lupulina, MD Ecotype"
113,"Carex lupulina, PA Ecotype"
114,"Carex lurida, PA Ecotype"
115,"Carex scoparia, PA Ecotype"
116,"Carex shortiana, PA Ecotype"
117,"Carex stipata, PA Ecotype"
118,"Carex stricta, PA Ecotype"
119,"Carex vulpinoidea, PA Ecotype"
120,Carya ovata
121,Centaurea cyanus
122,"Centaurea cyanus, Tall Mixed"
123,Cephalanthus occidentalis
124,Cercis canadensis
125,"Chamaecrista fasciculata, FL Ecotype"
126,"Chamaecrista fasciculata, PA Ecotype"
127,"Chamaecrista nictitans, NC Ecotype"
128,Chasmanthium latifolium
129,"Chasmanthium latifolium, WV Ecotype"
130,"Chasmanthium laxum, NC Ecotype"
131,Cheiranthus allionii
132,"Chelone glabra, PA Ecotype"
133,Chrysanthemum carinatum
134,Chrysanthemum leucanthemum
135,Chrysanthemum maximum
136,Cichorium intybus
137,Cichorium spp.
138,"Cinna arundinacea, PA Ecotype"
139,Clarkia elegans
140,"Clematis virginiana, PA Ecotype"
141,"Coreopsis basalis, FL Ecotype"
142,"Coreopsis grandiflora, Piedmont GA Ecotype"
143,Coreopsis lanceolata
144,"Coreopsis lanceolata, SC Ecotype"
145,Coreopsis tinctoria
146,"Coreopsis tripteris, PA Ecotype"
147,"Cornus alternifolia, PA Ecotype"
148,"Cornus amomum, IA Ecotype"
149,"Cornus amomum, PA Ecotype"
150,"Cornus florida, PA Ecotype"
151,"Cornus racemosa, IA Ecotype"
152,"Cornus racemosa, PA Ecotype"
153,"Cornus sericea, IA Ecotype"
154,"Cornus sericea, PA Ecotype"
155,"Coronilla varia, Penngift"
156,"Coronilla varia, Variety Not Stated"
157,Corylus americana
158,Cosmos bipinnatus
159,Cosmos sulphureus
160,Cyperus esculentus
161,"Dactylis glomerata, 'Pennlate'"
162,"Dactylis glomerata, 'Tekapo'"
163,"Dactylis glomerata, Potomac"
164,"Dactylis glomeratus, 'Profit'"
165,Dalea candida
166,Dalea purpurea
167,Daucus carota
168,Delphinium ajacis
169,Deschampsia cespitosa
170,Desmanthus illinoensis
171,"Desmodium canadense, PA Ecotype"
172,"Desmodium paniculatum, PA Ecotype"
173,Dianthus barbatus
174,"Dulichium arundinaceum, PA Ecotype"
175,Echinacea pallida
176,Echinacea purpurea
177,"Echinacea purpurea, OH Ecotype"
178,Echinochloa crusgalli var. frumentacea
179,Echinochloa muricata
180,Eleocharis obtusa
181,Eleocharis palustris
182,Elymus canadensis
183,Elymus glabriflorus
184,"Elymus hystrix, MN Ecotype"
185,"Elymus hystrix, PA Ecotype"
186,"Elymus riparius, PA Ecotype"
187,Elymus villosus
188,Elymus virginicus
189,"Elymus virginicus, AR Ecotype"
190,"Elymus virginicus, GA Ecotype"
191,"Elymus virginicus, Madison-NY Ecotype"
192,"Elymus virginicus, PA Ecotype"
193,Eragrostis curvula
194,Eragrostis hirsuta
195,"Eragrostis hirsuta, VA Ecotype"
196,"Eragrostis spectabilis, Fort Indiantown Gap-PA Ecotype"
197,"Eragrostis spectabilis, RI Ecotype"
198,"Erianthus contortus, VA Ecotype"
199,"Eryngium aquaticum var. ravenelii, FL Ecotype"
200,"Eryngium aquaticum var.aquaticum, SC Ecotype"
201,Eryngium yuccifolium
202,"Eryngium yuccifolium, OH Ecotype"
203,Eschscholzia californica
204,"Eupatorium coelestinum, FL Ecotype"
205,"Eupatorium coelestinum, VA Ecotype"
206,"Eupatorium fistulosum, AL Ecotype"
207,"Eupatorium fistulosum, PA Ecotype"
208,"Eupatorium maculatum, PA Ecotype"
209,"Eupatorium perfoliatum, PA Ecotype"
210,Eupatorium purpureum
211,"Eupatorium purpureum, WV Ecotype"
212,"Euthamia graminifolia, PA Ecotype"
213,"Fagopyrum esculentum, Mancan"
214,"Festuca arundinacea, 'Bronson'"
215,"Festuca arundinacea, 'Cochise III'"
216,"Festuca arundinacea, 'Firecracker SLS'"
217,"Festuca arundinacea, 'Inferno'"
218,"Festuca arundinacea, Fawn"
219,"Festuca arundinacea, 'Sidewinder'"
220,"Festuca arundinacea, 'Titanium 2LS'"
221,"Festuca arundinacea,'Teton'"
222,"Festuca brevipila, 'Beacon'"
223,Festuca elatior
224,"Festuca elatior x Lolium perenne, Duo"
225,"Festuca ovina var. duriuscula, 'Jetty'"
226,"Festuca ovina var. duriuscula, Gladiator"
227,"Festuca ovina var. duriuscula, Variety Not Stated"
228,"Festuca ovina var. glauca, 'Blue Ray'"
229,"Festuca ovina var. glauca, Azure"
230,"Festuca ovina, Variety Not Stated"
231,Festuca rubra
232,Festuca rubra ssp. commutata
233,"Festuca rubra, 'Cardinal II'"
234,"Festuca rubra, 'Navigator II'"
235,"Fraxinus pennsylvanica, PA Ecotype"
236,Gaillardia aristata
237,Gaillardia pulchella
238,Gaura biennis
239,"Gaura biennis, PA Ecotype"
240,"Geum canadense, PA Ecotype"
241,"Glyceria canadensis, PA Ecotype"
242,Glyceria grandis
243,"Glyceria grandis, PA Ecotype"
244,Glyceria striata
245,"Glyceria striata, PA Ecotype"
246,"Glycine max, Bobwhite"
247,Gypsophila elegans
248,"Hamamelis virginiana, PA Ecotype"
249,"Helenium autumnale, Northern VA Ecotype"
250,"Helenium autumnale, PA Ecotype"
251,"Helenium flexuosum, VA Ecotype"
252,"Helianthus angustifolius, AL Ecotype"
253,"Helianthus angustifolius, Coastal Plain NC Ecotype"
254,"Helianthus angustifolius, FL Ecotype"
255,"Helianthus angustifolius, GA Ecotype"
256,"Helianthus angustifolius, MD Ecotype"
257,Helianthus annuus
258,"Helianthus giganteus, PA Ecotype"
259,Helianthus maximilianii
260,Helianthus spp.
261,"Heliopsis helianthoides, PA Ecotype"
262,Hesperis matronalis
263,"Hibiscus moscheutos, 'Suther'-Piedmont NC Ecotype"
264,"Hibiscus moscheutos, Coastal Plain NC Ecotype"
265,"Hibiscus moscheutos, Delmarva Peninsula-MD/DE Ecotype"
266,"Hibiscus moscheutos, VA Ecotype"
267,"Hypericum perforatum, PA Ecotype"
268,"Hypericum punctatum, PA Ecotype"
269,"Hypericum pyramidatum, PA Ecotype"
270,"Ilex verticillata, PA Ecotype"
271,Iris versicolor
272,Juncus effusus
273,"Juncus effusus, 'Suther'-Piedmont NC Ecotype"
274,"Juncus effusus, Coastal Plain NC Ecotype"
275,"Juncus tenuis, NC Ecotype"
276,"Juncus tenuis, PA Ecotype"
277,Koeleria macrantha
278,"Kosteletzkya virginica, MD Ecotype"
279,"Lathyrus sylvestris, Lathco"
280,Lavatera trimestris
281,"Leersia oryzoides, PA Ecotype"
282,"Lespedeza capitata, RI Ecotype"
283,Lespedeza cuneata
284,"Lespedeza frutescens, MD Ecotype"
285,"Lespedeza frutescens, PA Ecotype"
286,Lespedeza stipulacea
287,"Lespedeza virginica, VA Ecotype"
288,Liatris pycnostachya
289,Liatris spicata
290,"Liatris spicata, FL Ecotype"
291,"Liatris spicata, PA Ecotype"
292,"Liatris tenuifolia, FL Panhandle Ecotype"
293,Linaria maroccana
294,Lindera benzoin
295,Linum grandiflorum rubrum
296,Linum perenne
297,Lobelia siphilitca
298,"Lobelia siphilitica, PA Ecotype"
299,Lobularia maritima
300,Lolium multiflorum
301,"Lolium perenne, 'Amazing XL'"
302,"Lolium perenne, 'Bigleague'"
303,"Lolium perenne, 'Blackstone'"
304,"Lolium perenne, 'Confetti III'"
305,"Lolium perenne, 'Crave', Tetraploid"
306,"Lolium perenne, 'Mercedes', Tetraploid"
307,"Lolium perenne, 'Pasco'"
308,"Lolium perenne, 'Power', Tetraploid"
309,"Lolium perenne, Green Supreme +"
310,"Lolium perenne, Variety Not Stated"
311,"Lotus corniculatus, 'Leo'"
312,"Lotus corniculatus, 'Norcen'"
313,"Lotus corniculatus, Empire"
314,"Lotus corniculatus, Variety Not Stated"
315,"Ludwigia alternifolia, PA Ecotype"
316,"Ludwigia linearis, Coastal Plain SC Ecotype"
317,"Ludwigia maritima, Coastal Plain NC Ecotype"
318,Lupinus perennis
319,"Lycopus americanus, PA Ecotype"
320,Medicago sativa
321,Melilotus alba
322,Melilotus officinalis
323,Mimulus ringens
324,"Mimulus ringens, PA Ecotype"
325,Monarda fistulosa
326,"Monarda fistulosa, Fort Indiantown Gap-PA Ecotype"
327,"Monarda media, PA Ecotype"
328,"Monarda punctata, Albany Pine Bush-NY Ecotype"
329,"Monarda punctata, Coastal Plain SC Ecotype"
330,"Monarda punctata, FL Ecotype"
331,"Muhlenbergia capillaris, FL Ecotype"
332,"Nyssa sylvatica, PA Ecotype"
333,Oenothera biennis
334,Oenothera fruticosa var. fruticosa
335,Oenothera speciosa
336,Onobrychis viciifolia
337,Onoclea sensibilis
338,"Panicum amarum, Atlantic-VA Ecotype"
339,"Panicum anceps, Eastern Shore MD Ecotype"
340,"Panicum anceps, NC Ecotype"
341,"Panicum anceps, SC Ecotype"
342,"Panicum anceps, VA Ecotype"
343,"Panicum clandestinum, Tioga"
344,"Panicum dichotomiflorum, PA Ecotype"
345,Panicum miliaceum
346,"Panicum rigidulum, Coastal Plain NC Ecotype"
347,"Panicum rigidulum, PA Ecotype"
348,Panicum sphaeroncarpon
349,"Panicum virgatum, 'Blackwell'"
350,"Panicum virgatum, 'Carthage', NC Ecotype"
351,"Panicum virgatum, 'Cave-In-Rock'"
352,"Panicum virgatum, 'High Tide'"
353,"Panicum virgatum, 'Independence'"
354,"Panicum virgatum, 'Liberty'"
355,"Panicum virgatum, 'RC Chippewa'"
356,"Panicum virgatum, 'Shawnee'"
357,"Panicum virgatum, 'Shelter'"
358,"Panicum virgatum, 'Summer'"
359,"Panicum virgatum, 'Timber'"
360,"Panicum virgatum, Long Island-NY Ecotype"
361,"Panicum virgatum, NJ Ecotype"
362,"Panicum virgatum, Variety Not Stated"
363,"Papaver rhoeas, Red"
364,"Papaver rhoeas, Shirley Mix"
365,"Parthenium integrifolium, NC Ecotype"
366,"Parthenium integrifolium, VA Ecotype"
367,"Parthenocissus quinquefolia, PA Ecotype"
368,"Peltandra virginica, PA Ecotype"
369,"Penstemon australis, 'Suther'-NC Ecotype"
370,"Penstemon canescens, WV Ecotype"
371,Penstemon digitalis
372,"Penstemon digitalis, PA Ecotype"
373,Penstemon hirsutus
374,Penstemon laevigatus
375,"Penstemon laevigatus, PA Ecotype"
376,"Penthorum sedoides, PA Ecotype"
377,Phacelia campanularia
378,Phleum pratense
379,"Phleum pratense, Climax"
380,Phlox drummondii
381,Pisum arvense
382,Platanus occidentalis
383,Poa palustris
384,"Poa pratensis, 'Baron'"
385,"Poa pratensis, 'Blackjack'"
386,"Poa pratensis, 'Ginger'"
387,"Poa pratensis, 'Kelly'"
388,"Poa pratensis, 'Maverick'"
389,"Poa pratensis, 'Merit'"
390,"Poa pratensis, 'Shamrock'"
391,"Poa pratensis, Appalachian"
392,Poa trivialis
393,"Polygonum pensylvanicum, PA Ecotype"
394,"Polygonum sagittatum, PA Ecotype"
395,Pontederia cordata
396,"Prunus serotina, PA Ecotype"
397,"Prunus virginiana, PA Ecotype"
398,"Puccinellia distans, Fults"
399,Pycnanthemum tenuifolium
400,Pycnanthemum virginianum
401,"Pycnanthemum virginianum, PA Ecotype"
402,"Raphanus sativus, GroundHog"
403,Ratibida columnaris
404,Ratibida columnifera
405,Ratibida pinnata
406,"Ratibida pinnata, AL Ecotype"
407,"Ratibida pinnata, OH Ecotype"
408,"Rhus typhina, PA Ecotype"
409,"Robinia fertilis, PA Ecotype"
410,Robinia pseudoacacia
411,"Rosa palustris, PA Ecotype"
412,"Rubus allegheniensis, PA Ecotype"
413,Rudbeckia amplexicaulis
414,"Rudbeckia fulgida var. fulgida, Northern VA Ecotype"
415,Rudbeckia hirta
416,"Rudbeckia hirta var. pulcherrima, AL Ecotype"
417,"Rudbeckia hirta, PA Ecotype"
418,"Rudbeckia hirta, VT Ecotype"
419,Rudbeckia subtomentosa
420,"Rudbeckia triloba, WV Ecotype"
421,"Sagittaria latifolia, PA Ecotype"
422,Sambucus canadensis
423,Sambucus racemosa
424,Sanguisorba minor
425,"Saururus cernuus, NC Ecotype"
426,"Saururus cernuus, PA Ecotype"
427,"Schizachyrium scoparium, 'Aldous'"
428,"Schizachyrium scoparium, 'Blaze'"
429,"Schizachyrium scoparium, 'Camper'"
430,"Schizachyrium scoparium, 'Itasca', MN Ecotype"
431,"Schizachyrium scoparium, 'Prairie View'-IN Ecotype"
432,"Schizachyrium scoparium, Albany Pine Bush-NY Ecotype"
433,"Schizachyrium scoparium, Fort Indiantown Gap-PA Ecotype"
434,"Scirpus acutus, PA Ecotype"
435,"Scirpus americanus, PA Ecotype"
436,Scirpus atrovirens
437,"Scirpus atrovirens, PA Ecotype"
438,"Scirpus cyperinus, Coastal Plain NC Ecotype"
439,"Scirpus cyperinus, PA Ecotype"
440,"Scirpus expansus, PA Ecotype"
441,Scirpus hattorianus
442,"Scirpus pendulus, PA Ecotype"
443,"Scirpus validus, PA Ecotype"
444,"Secale cereale, 'Aroostook', Common"
445,"Secale cereale, Variety Not Stated"
446,"Senna hebecarpa, VA & WV Ecotype"
447,Senna marilandica
448,Setaria italica
449,Silene armeria
450,"Silphium asteriscus var. angustatum, FL Ecotype"
451,"Silphium asteriscus var. angustatum, SC Ecotype"
452,"Silphium asteriscus var. laevicaule, GA Ecotype"
453,Silphium perfoliatum
454,"Silphium terebinthinaceum, OH Ecotype"
455,Silphium trifoliatum
456,Sisyrinchium angustifolium
457,"Solidago bicolor, PA Ecotype"
458,"Solidago canadensis, PA Ecotype"
459,Solidago gigantea
460,"Solidago juncea, PA Ecotype"
461,"Solidago juncea, VA Ecotype"
462,"Solidago nemoralis, PA Ecotype"
463,"Solidago nemoralis, VA Ecotype"
464,"Solidago odora, GA Ecotype"
465,"Solidago odora, PA Ecotype"
466,"Solidago patula, PA Ecotype"
467,"Solidago riddellii, OH Ecotype"
468,Solidago rigida
469,"Solidago rigida, OH Ecotype"
470,"Solidago rugosa, PA Ecotype"
471,Solidago speciosa
472,"Solidago speciosa, Coastal Plain GA Ecotype"
473,"Solidago speciosa, Southern WV Ecotype"
474,"Sorghastrum nutans, 'Holt'"
475,"Sorghastrum nutans, 'Nebraska 54'"
476,"Sorghastrum nutans, 'Prairie View'-IN Ecotype"
477,"Sorghastrum nutans, 'Southlow'-MI Ecotype"
478,"Sorghastrum nutans, Long Island-NY Ecotype"
479,"Sorghastrum nutans, New England 2 Ecotype"
480,"Sorghastrum nutans, NY4 Ecotype"
481,"Sorghastrum nutans, PA Ecotype"
482,Sorghum spp.
483,Sparganium americanum
484,"Sparganium eurycarpum, PA Ecotype"
485,Sporobolus asper
486,Sporobolus cryptandrus
487,Sporobolus heterolepis
488,"Tradescantia ohiensis, AL Ecotype"
489,"Tradescantia ohiensis, PA Ecotype"
490,"Tradescantia subaspera, VA Ecotype"
491,"Tradescantia virginiana, Southeastern PA/Northern VA blend"
492,Tridens flavus
493,"Tridens flavus, Fort Indiantown Gap-PA Ecotype"
494,Trifolium alexandrinum
495,"Trifolium alexandrium, 'Frosty'"
496,Trifolium hybridum
497,"Trifolium incarnatum, Variety Not Stated"
498,"Trifolium pratense, Kenland"
499,"Trifolium pratense, Mammoth"
500,"Trifolium pratense, Medium, Variety Not Stated"
501,"Trifolium pratense, Starfire II"
502,"Trifolium repans, Legacy"
503,"Trifolium repens, Dutch"
504,"Trifolium repens, Ladino"
505,"Trifolium repens, New Zealand"
506,Tripsacum dactyloides
507,Urochloa ramosa
508,"Verbena hastata, PA Ecotype"
509,Verbena stricta
510,"Verbena urticifolia, PA Ecotype"
511,"Verbesina alternifolia, PA Ecotype"
512,"Vernonia angustifolia, SC Ecotype"
513,"Vernonia gigantea, PA Ecotype"
514,"Vernonia noveboracensis, 'Suther'-Piedmont NC Ecotype"
515,"Vernonia noveboracensis, PA Ecotype"
516,"Veronicastrum virginicum, PA Ecotype"
517,"Viburnum dentatum, PA Ecotype"
518,"Viburnum lentago, IA Ecotype"
519,"Viburnum lentago, PA Ecotype"
520,Viburnum trilobum
521,Vicia villosa
522,"Vicia villosa, 'Purple Bounty'"
523,Viola cornuta
524,Zizania aquatica
525,Zizia aurea
526,"Zizia aurea, PA Ecotype"
