,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Aesculus glabra, Ohio buckeye , Tree, Sapindaceae, Eastern United States and Canada, 3 to 7, 20.00 to 40.00 feet, 20.00 to 40.00 feet, April to May, Greenish-yellow, Full sun to part shade, Medium, Medium, Rain Garden," Showy, Fragrant"," Rabbit, Black Walnut", Where is this species invasive in the US?," Fragrant, Good Fall"," Hummingbirds, Butterflies", Showy,
Aesculus parviflora, bottlebrush buckeye , Deciduous shrub, Sapindaceae, Southeastern United States, 4 to 8, 8.00 to 12.00 feet, 8.00 to 15.00 feet, June to July, White with red anthers, Part shade to full shade, Medium, Low," Naturalize, Rain Garden", Showy," Rabbit, Deer, Erosion, Wet Soil",, Good Fall, Butterflies, Showy,
Aesculus pavia, red buckeye , Deciduous shrub, Sapindaceae, North America, 4 to 8, 12.00 to 15.00 feet, 12.00 to 15.00 feet, April to May, Bright red, Full sun to part shade, Medium, Medium," Hedge, Flowering Tree, Rain Garden", Showy, Clay Soil,,, Hummingbirds, Showy,
Aesculus sylvatica, painted buckeye , Deciduous shrub, Sapindaceae, Southeastern United States, 7 to 8, 6.00 to 15.00 feet, 6.00 to 15.00 feet, April to May," Cream, yellow, red or yellow veined with red", Part shade, Medium, Medium, Naturalize, Showy, Deer,,," Hummingbirds, Butterflies", Showy,
Agalinis tenuifolia, slenderleaf false foxglove , Annual, Orobanchaceae, North America, 2 to 11, 1.00 to 2.00 feet, 0.75 to 1.50 feet, August to October, Purplish-pink, Full sun to part shade, Medium, Medium, Annual, Showy,,,,,,
Agastache nepetoides, yellow giant hyssop , Herbaceous perennial, Lamiaceae, Southern Canada to southeastern United States, 2 to 8, 4.00 to 6.00 feet, 1.00 to 3.00 feet, July to September, Greenish-yellow, Full sun to part shade, Medium, Low, Annual, Showy, Deer,,, Butterflies,,
Ageratina altissima, white snakeroot , Herbaceous perennial, Asteraceae, North America, 3 to 8, 3.00 to 5.00 feet, 2.00 to 4.00 feet, September to frost, White, Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy, Deer,,, Butterflies,,
Allium cernuum, nodding onion , Bulb, Amaryllidaceae, Canada to Mexico, 4 to 8, 1.00 to 1.50 feet, 0.25 to 0.50 feet, June to August, Pink, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil, Black Walnut",, Fragrant, Butterflies,,
Alnus serrulata, hazel alder , Tree, Betulaceae, Eastern United States, 4 to 9, 10.00 to 20.00 feet, 8.00 to 15.00 feet, March to April, Brownish-yellow (male) and red (female), Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Clay Soil, Wet Soil",,,,,
Amelanchier arborea, serviceberry , Tree, Rosaceae, Eastern North America, 4 to 9, 15.00 to 25.00 feet, 15.00 to 25.00 feet, March to April, White, Full sun to part shade, Medium, Low, Flowering Tree," Showy, Fragrant"," Clay Soil, Air Pollution",, Good Fall," Birds, Butterflies"," Showy, Edible",
Amelanchier canadensis, serviceberry , Tree, Rosaceae, Eastern North America, 4 to 8, 25.00 to 30.00 feet, 15.00 to 20.00 feet, April to May, White, Full sun to part shade, Medium, Low, Flowering Tree, Showy, Clay Soil,, Good Fall, Birds," Showy, Edible",
Amelanchier laevis, Allegheny serviceberry , Tree, Rosaceae, North America, 4 to 8, 15.00 to 40.00 feet, 15.00 to 40.00 feet, April, White, Full sun to part shade, Medium, Low," Street Tree, Flowering Tree"," Showy, Fragrant", Air Pollution,, Good Fall, Birds," Showy, Edible",
Amelanchier obovalis, coastal serviceberry  , Deciduous shrub, Rosaceae, Eastern North America, 5 to 8, 3.00 to 5.00 feet, 3.00 to 5.00 feet, March to April, White, Full sun to part shade, Dry to medium, Low, Hedge, Showy," Drought, Dry Soil",,, Birds," Showy, Edible",
Amelanchier stolonifera, running serviceberry , Deciduous shrub, Rosaceae, Northeastern America, 4 to 8, 4.00 to 5.00 feet, 4.00 to 5.00 feet, May, White, Full sun to part shade, Medium, Low," Hedge, Naturalize", Showy,,, Good Fall, Birds," Showy, Edible",
Amorpha fruticosa, false indigo , Deciduous shrub, Fabaceae, Southern United States, 4 to 9, 4.00 to 12.00 feet, 6.00 to 15.00 feet, April to June, Purple with orange-yellow anthers, Full sun, Medium to wet, Low,," Showy, Fragrant", Wet Soil, Where is this species invasive in the US?,, Butterflies, Showy,
Amsonia ciliata, blue star , Herbaceous perennial, Apocynaceae, Southeastern United States, 5 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, May, Pale blue, Full sun to part shade, Medium, Low,, Showy, Deer,, Good Fall, Butterflies,,
Amsonia tabernaemontana, blue star , Herbaceous perennial, Apocynaceae, Central United States, 3 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, May, Blue, Full sun to part shade, Medium, Low, Rain Garden," Showy, Good Cut"," Deer, Drought, Clay Soil",, Good Fall,,,
Andropogon gerardii, big blue stem , Ornamental grass, Poaceae, Canada to Mexico, 4 to 9, 4.00 to 6.00 feet, 2.00 to 3.00 feet, September to February, Purplish-red, Full sun, Dry to medium, Low, Naturalize," Insignificant, Good Dried"," Deer, Drought, Erosion, Dry Soil, Black Walnut, Air Pollution",, Good Fall,,, Winter Interest
Andropogon glomeratus, bushy bluestem , Ornamental grass, Poaceae," Central America, West Indies", 5 to 9, 3.00 to 6.00 feet, 2.00 to 3.00 feet, September to February, Silvery pink to white, Full sun, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Black Walnut, Air Pollution",, Good Fall,,, Winter Interest
Antennaria parlinii, pussy toes , Herbaceous perennial, Asteraceae, Eastern and central North America, 5 to 9, 0.50 to 1.00 feet, 0.75 to 1.50 feet, April to June, White, Full sun to part shade, Dry to medium, Low," Ground Cover, Naturalize", Showy," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Antennaria plantaginifolia, pussytoes , Herbaceous perennial, Asteraceae, North America, 3 to 8, 0.50 to 1.00 feet, 0.75 to 1.50 feet, April to June, White tinged with pink, Full sun, Dry to medium, Low," Ground Cover, Naturalize"," Insignificant, Good Dried"," Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Apocynum cannabinum, Indian hemp , Herbaceous perennial, Apocynaceae," Northeastern United States, Canada", 4 to 9, 2.00 to 4.00 feet, 1.50 to 2.50 feet, July to August, White to green, Full sun, Dry to medium, Medium, Naturalize, Showy, Drought,,, Butterflies,,
Aquilegia canadensis, columbine , Herbaceous perennial, Ranunculaceae, Eastern North America, 3 to 8, 2.00 to 3.00 feet, 1.00 to 1.50 feet, April to May, Light pink/yellow to blood red/yellow, Full sun to part shade, Medium, Medium, Naturalize," Showy, Good Cut"," Rabbit, Deer, Drought, Dry Soil",,, Hummingbirds,,
Aralia racemosa, American spikenard , Herbaceous perennial, Araliaceae, North America, 3 to 8, 3.00 to 5.00 feet, 3.00 to 5.00 feet, June to August, White, Full sun to part shade, Medium, Low, Naturalize, Showy, Drought,,,,,
Aralia spinosa, Devil's walking stick , Deciduous shrub, Araliaceae, Eastern United States, 4 to 9, 10.00 to 20.00 feet, 6.00 to 10.00 feet, July to August, White, Full sun to part shade, Medium, Low,, Showy," Drought, Clay Soil, Black Walnut", Where is this species invasive in the US?,, Birds, Showy, Thorns
Arisaema dracontium, dragon root , Herbaceous perennial, Araceae, Eastern North America, 4 to 9, 1.00 to 3.00 feet, 1.00 to 1.50 feet, May to June, Light green, Part shade to full shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Heavy Shade, Wet Soil",,,, Showy,
Arisaema triphyllum, jack-in-the-pulpit , Herbaceous perennial, Araceae, Eastern North America, 4 to 9, 1.00 to 2.00 feet, 1.00 to 1.50 feet, April to May, Green/purple, Part shade to full shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Heavy Shade, Wet Soil, Black Walnut",,,, Showy,
Aristolochia macrophylla, Dutchman's pipe , Vine, Aristolochiaceae, Eastern North America, 4 to 8, 15.00 to 30.00 feet, 15.00 to 20.00 feet, May to June," Yellow, green, purple", Full sun to part shade, Medium, Low,, Insignificant, Black Walnut,,,,,
Aristolochia tomentosa, Dutchman's pipe , Vine, Aristolochiaceae, Southeastern and south-central United States, 5 to 8, 20.00 to 30.00 feet, 5.00 to 10.00 feet, May to June, Greenish yellow, Full sun to part shade, Medium, Low,, Showy,,,, Butterflies,,
Arnoglossum atriplicifolium, pale Indian plantain , Herbaceous perennial, Asteraceae, Eastern United States, 3 to 8, 3.00 to 6.00 feet, 2.00 to 4.00 feet, July to August, White, Full sun to part shade, Medium, Medium, Naturalize, Showy,,,,,,
Arnoglossum reniforme, great Indian plantain , Herbaceous perennial, Asteraceae, Eastern United States, 3 to 8, 3.00 to 9.00 feet, 2.00 to 4.00 feet, May to September, Whitish, Full sun to part shade, Medium, Low, Naturalize, Showy,,,,,,
Aronia arbutifolia, chokeberry , Deciduous shrub, Rosaceae, Eastern North America, 4 to 9, 6.00 to 10.00 feet, 3.00 to 6.00 feet, April, White to light pink, Full sun to part shade, Medium, Low," Naturalize, Rain Garden", Showy," Erosion, Clay Soil, Wet Soil",, Good Fall,, Showy, Winter Interest
Aronia melanocarpa, black chokeberry , Deciduous shrub, Rosaceae, Eastern North America, 3 to 8, 3.00 to 6.00 feet, 3.00 to 6.00 feet, May, White, Full sun to part shade, Medium, Low," Hedge, Naturalize, Rain Garden", Showy, Wet Soil,, Good Fall, Birds," Showy, Edible",
Aruncus dioicus, goat's beard , Herbaceous perennial, Rosaceae, Temperate northern hemisphere, 4 to 8, 4.00 to 6.00 feet, 2.00 to 4.00 feet, April to May, Cream, Full sun to part shade, Medium to wet, Low, Rain Garden, Showy, Rabbit,,,,,
Arundinaria gigantea, giant cane bamboo , Ornamental grass, Poaceae, Southeastern United States, 5 to 9, 5.00 to 12.00 feet, 8.00 to 20.00 feet, Rarely flowers, Rarely flowers, Full sun, Medium, Medium," Hedge, Naturalize, Rain Garden",," Erosion, Black Walnut, Air Pollution",, Evergreen,,, Winter Interest
Asarum canadense, wild ginger , Herbaceous perennial, Aristolochiaceae, Manitoba to North Carolina, 4 to 6, 0.50 to 1.00 feet, 1.00 to 1.50 feet, April to May, Purplish brown, Part shade to full shade, Medium to wet, Low," Ground Cover, Naturalize, Rain Garden", Insignificant," Deer, Heavy Shade, Erosion, Wet Soil",,,,,
Asclepias hirtella, prairie milkweed , Herbaceous perennial, Apocynaceae, Eastern and central United States, 4 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, June to August, Purple-tinged greenish-white, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Clay Soil, Dry Soil",,, Butterflies,,
Asclepias incarnata, swamp milkweed , Herbaceous perennial, Apocynaceae, Northeastern and southeastern United States, 3 to 6, 3.00 to 4.00 feet, 2.00 to 3.00 feet, July to August," White, pink, mauve", Full sun, Medium to wet, Low," Naturalize, Rain Garden"," Showy, Fragrant"," Deer, Clay Soil, Wet Soil",,, Butterflies,,
Asclepias quadrifolia, fourleaf milkweed , Herbaceous perennial, Apocynaceae, Central and eastern North America, 5 to 8, 1.00 to 2.50 feet, 0.75 to 1.50 feet, May to July, Purplish-pink, Full sun to part shade, Dry to medium, Low, Naturalize," Showy, Fragrant"," Deer, Drought, Clay Soil, Dry Soil",,, Butterflies,,
Asclepias syriaca, common milkweed , Herbaceous perennial, Apocynaceae, Eastern North America, 3 to 9, 2.00 to 3.00 feet, 0.75 to 1.00 feet, June to August," Pink, mauve, white", Full sun, Dry to medium, Low, Naturalize," Showy, Fragrant"," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies, Showy,
Asclepias tuberosa, butterfly weed , Herbaceous perennial, Apocynaceae, Eastern and southern United States, 3 to 9, 1.00 to 2.50 feet, 1.00 to 1.50 feet, June to August, Yellow/orange, Full sun, Dry to medium, Low," Naturalize, Rain Garden", Showy," Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Asclepias verticillata, whorled milkweed , Herbaceous perennial, Apocynaceae, United States, 4 to 9, 1.00 to 2.50 feet, 1.00 to 2.00 feet, June to September, White, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil",,," Hummingbirds, Butterflies",,
Asclepias viridis, green milkweed , Herbaceous perennial, Apocynaceae, Central and eastern United States, 5 to 9, 1.50 to 2.50 feet, 1.00 to 2.00 feet, May to July, Green with purple hood, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought",,, Butterflies,,
Asimina triloba, pawpaw , Tree, Annonaceae, Southeastern United States, 5 to 9, 15.00 to 30.00 feet, 15.00 to 30.00 feet, April to May, Purple, Full sun to part shade, Medium to wet, Low, Rain Garden," Fragrant, Insignificant"," Wet Soil, Black Walnut",, Good Fall,," Showy, Edible",
Astragalus canadensis, milk vetch , Herbaceous perennial, Fabaceae, North America, 3 to 8, 1.00 to 4.00 feet, 1.50 to 2.00 feet, June to August, Creamy white to pale green, Full sun, Medium, Low," Ground Cover, Naturalize", Showy," Drought, Dry Soil, Wet Soil",,," Birds, Hummingbirds, Butterflies",,
Athyrium filix-femina, lady fern , Fern, Athyriaceae, Northern temperate regions, 4 to 8, 1.00 to 3.00 feet, 1.00 to 2.50 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low,, Insignificant," Rabbit, Heavy Shade",,,,,
Baccharis angustifolia, false willow , Deciduous shrub, Asteraceae," Southeastern United States, West Indies", 8 to 11, 6.00 to 13.00 feet, 4.00 to 10.00 feet, September to November, White, Full sun, Medium to wet, Low, Naturalize, Insignificant,,,,,,
Baccharis halimifolia, eastern baccharis , Deciduous shrub, Asteraceae," North America, South America", 5 to 10, 3.00 to 10.00 feet, 3.00 to 10.00 feet, August to October, White, Full sun, Medium to wet, Low," Hedge, Naturalize, Rain Garden", Insignificant," Clay Soil, Dry Soil, Wet Soil, Shallow-Rocky Soil",,," Birds, Butterflies", Showy,
Baptisia alba, false indigo , Herbaceous perennial, Fabaceae, Southeastern United States, 5 to 8, 2.00 to 4.00 feet, 2.00 to 2.50 feet, April to May," Creamy white, occasionally streaked with darker patches.", Full sun to part shade, Dry to medium, Low, Naturalize," Showy, Good Dried"," Drought, Erosion, Dry Soil",,, Butterflies, Showy,
Baptisia australis, blue false indigo , Herbaceous perennial, Fabaceae, Eastern United States, 3 to 9, 3.00 to 4.00 feet, 3.00 to 4.00 feet, May to June, Indigo blue, Full sun to part shade, Dry to medium, Low, Naturalize, Showy," Rabbit, Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies, Showy,
Baptisia bracteata, false indigo , Herbaceous perennial, Fabaceae, Eastern United States, 3 to 9, 2.00 to 2.50 feet, 2.00 to 2.50 feet, May to June, Creamy white, Full sun to part shade, Dry to medium, Low,," Showy, Good Cut, Good Dried"," Drought, Dry Soil",,, Butterflies, Showy,
Baptisia lanceolata, gopherweed , Herbaceous perennial, Fabaceae, Southeastern United States, 6 to 9, 1.00 to 3.00 feet, 1.00 to 3.00 feet, May to June, Yellow, Full sun, Dry to medium, Low,, Showy," Dry Soil, Shallow-Rocky Soil",,,, Showy, Winter Interest
Berchemia scandens, supple-Jack , Vine, Rhamnaceae,, 6 to 9, 20.00 to 60.00 feet, 6.00 to 12.00 feet, May to June, Greenish-white, Full sun to part shade, Medium, Low, Rain Garden, Showy, Drought,,,,,
Betula lenta, sweet birch , Tree, Betulaceae, Eastern North America, 3 to 8, 40.00 to 75.00 feet, 35.00 to 40.00 feet, April to May, Green to pale yellow catkins, Full sun to part shade, Medium, Medium," Shade Tree, Naturalize", Insignificant," Clay Soil, Shallow-Rocky Soil",," Fragrant, Good Fall",,, Winter Interest
Betula nigra, river birch , Tree, Betulaceae, Eastern United States, 4 to 9, 40.00 to 70.00 feet, 40.00 to 60.00 feet, April to May, Brown (male) green (female), Full sun to part shade, Medium to wet, Low," Shade Tree, Rain Garden", Showy," Deer, Drought, Clay Soil, Wet Soil, Black Walnut, Air Pollution",,, Birds,, Winter Interest
Bignonia capreolata, cross vine , Vine, Bignoniaceae," Southern Ontario, eastern United States", 5 to 9, 35.00 to 50.00 feet, 6.00 to 9.00 feet, May to June, Orange-red, Full sun to part shade, Medium, Medium,," Showy, Fragrant", Heavy Shade,,, Hummingbirds,,
Blephilia ciliata, Ohio horsemint , Herbaceous perennial, Lamiaceae, Eastern United States, 4 to 8, 1.00 to 2.50 feet, 0.75 to 1.50 feet, May to August," Blue, purple", Full sun to part shade, Dry to medium, Medium,, Showy," Drought, Dry Soil",,,,,
Blephilia hirsuta, hairy woodmint , Herbaceous perennial, Lamiaceae, Eastern and northcentral United States, 4 to 8, 1.00 to 2.50 feet, 0.75 to 1.50 feet, May to September," Blue, purple", Full sun to part shade, Medium, Medium,, Showy,,, Fragrant,,,
Boltonia asteroides, false aster , Herbaceous perennial, Asteraceae, Eastern United States, 3 to 10, 5.00 to 6.00 feet, 2.00 to 4.00 feet, August to September," White, pink, lilac, purple with yellow centers.", Full sun, Medium, Medium, Naturalize," Showy, Good Cut", Clay Soil,,, Butterflies,,
Bouteloua curtipendula, sideoats grass , Ornamental grass, Poaceae, North and South America, 4 to 9, 1.50 to 2.50 feet, 1.50 to 2.00 feet, July to August, Purplish, Full sun, Dry to medium, Low, Ground Cover," Showy, Good Cut, Good Dried"," Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",, Good Fall, Birds,,
Brickellia eupatorioides, false boneset , Herbaceous perennial, Asteraceae, United States, 6 to 9, 1.00 to 4.00 feet, 0.75 to 2.00 feet, July to October, Creamy white to pale yellow, Full sun to part shade, Dry to medium, Low,, Showy," Drought, Dry Soil",, Colorful,,,
Callicarpa americana, beautyberry , Deciduous shrub, Lamiaceae, Southeastern United States, 6 to 12, 3.00 to 6.00 feet, 3.00 to 6.00 feet, June to August," Lavender, pink", Full sun to part shade, Medium, Medium,, Insignificant," Drought, Clay Soil",,, Birds, Showy, Winter Interest
Callirhoe alcaeoides, prairie poppy mallow , Herbaceous perennial, Malvaceae, South central and eastern United States, 4 to 9, 1.00 to 1.50 feet, 1.00 to 1.50 feet, June to August, White to pink to pale lilac, Full sun, Dry to medium, Low,, Showy, Drought,,,,,
Calycanthus floridus, Carolina allspice , Deciduous shrub, Calycanthaceae, Southeastern United States, 4 to 9, 6.00 to 10.00 feet, 6.00 to 12.00 feet, April to July, Brown, Full sun to part shade, Medium, Low,," Showy, Fragrant, Good Cut"," Deer, Clay Soil, Wet Soil",,,,,
Camassia scilloides, wild hyacinth , Bulb, Asparagaceae, Central and eastern North America, 4 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, April to May, Pale blue to white flowers, Full sun to part shade, Medium, Low,," Showy, Good Cut"," Drought, Clay Soil, Black Walnut",,,,,
Campsis radicans, trumpetcreeper , Vine, Bignoniaceae, Southeastern United States, 4 to 9, 25.00 to 40.00 feet, 5.00 to 10.00 feet, July," Orange, scarlet", Full sun to part shade, Medium, High, Naturalize, Showy," Deer, Drought, Clay Soil",,, Hummingbirds,,
Cardamine concatenata, cutleaf toothwort , Herbaceous perennial, Brassicaceae, North America, 3 to 8, 0.50 to 0.75 feet, 0.50 to 0.75 feet, April to May, White, Part shade, Medium, Medium, Naturalize, Showy,,,,,,
Carex alata, broadwing sedge , Rush or Sedge, Cyperaceae, Eastern United States, 4 to 8, 2.00 to 3.00 feet, 1.50 to 2.00 feet, May to June, Green, Full sun to part shade, Wet, Low," Naturalize, Rain Garden", Insignificant," Deer, Erosion, Wet Soil",,,,,
Carex albicans, white-tinged sedge , Rush or Sedge, Cyperaceae, Central and eastern North America, 4 to 8, 1.00 to 1.50 feet, 1.00 to 1.50 feet, May,, Part shade to full shade, Medium, Low, Naturalize, Showy," Drought, Dry Soil",,,,,
Carex annectens, sedge , Rush or Sedge, Cyperaceae, Eastern North America, 4 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Greenish yellow, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Erosion, Wet Soil",,,,,
Carex bromoides, brome-like sedge , Rush or Sedge, Cyperaceae, Eastern North America, 4 to 8, 0.75 to 1.00 feet, 1.25 to 1.75 feet, May to July, Green fading to light brown, Part shade, Medium to wet, Low," Ground Cover, Rain Garden",, Wet Soil,,," Birds, Butterflies",,
Carex bushii, Bush's sedge , Rush or Sedge, Cyperaceae, United States, 5 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Reddish-brown, Full sun to part shade, Medium to wet, Low, Naturalize, Showy,,,,,,
Carex crinita, fringed sedge , Rush or Sedge, Cyperaceae, Central and eastern United States, 3 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Green, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Deer, Erosion, Wet Soil",,, Birds,,
Carex crus-corvi, sedge , Rush or Sedge, Cyperaceae, North America, 4 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Green, Full sun to part shade, Medium to wet, Low, Naturalize, Showy," Deer, Wet Soil",,,,,
Carex eburnea, bristle-leaved sedge , Rush or Sedge, Cyperaceae, Eastern and central North America, 2 to 8, 0.50 to 1.00 feet, 0.50 to 1.00 feet, April, Green, Part shade to full shade, Medium, Low," Ground Cover, Naturalize", Insignificant," Deer, Heavy Shade",,,,,
Carex flaccosperma, blue wood sedge , Rush or Sedge, Cyperaceae, Southeastern North America, 5 to 8, 0.50 to 1.00 feet, 0.50 to 1.00 feet, May to June, Greenish-white, Part shade to full shade, Medium to wet, Low, Rain Garden, Insignificant," Deer, Heavy Shade",,,,,
Carex frankii, Frank's sedge , Rush or Sedge, Cyperaceae, Eastern and central North America, 5 to 8, 1.00 to 2.00 feet, 1.00 to 2.00 feet, May to September, Green, Full sun to part shade, Wet, Low, Rain Garden, Insignificant," Deer, Erosion, Wet Soil",,,,,
Carex grayi, gray sedge , Rush or Sedge, Cyperaceae, Eastern North America, 5 to 9, 2.00 to 3.00 feet, 1.50 to 2.00 feet, May to October, Green, Full sun to part shade, Medium to wet, Low, Rain Garden," Showy, Good Cut, Good Dried"," Deer, Erosion, Wet Soil",, Evergreen,, Showy,
Carex laxiculmis, sedge , Herbaceous perennial, Cyperaceae, United States, 5 to 9, 0.50 to 1.00 feet, 0.50 to 1.00 feet, May to June, Yellowish-white, Part shade to full shade, Medium to wet, Low," Ground Cover, Naturalize, Rain Garden", Insignificant," Deer, Heavy Shade, Wet Soil",,,,,
Carex lurida, sallow sedge , Rush or Sedge, Cyperaceae, North and South America, 3 to 8, 1.50 to 3.00 feet, 1.00 to 2.00 feet, May to September, Green, Full sun to part shade, Medium to wet, Low, Rain Garden, Insignificant," Deer, Erosion, Wet Soil",,,,,
Carex normalis, greater straw sedge , Rush or Sedge, Cyperaceae, Central and Northeastern North America, 3 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, May to July, Green, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden", Insignificant," Deer, Heavy Shade, Wet Soil",,,,,
Carex pensylvanica, sedge , Rush or Sedge, Cyperaceae, Eastern North America, 3 to 8, 0.50 to 1.00 feet, 0.50 to 1.00 feet, May, Greenish, Part shade to full shade, Dry to medium, Low," Ground Cover, Naturalize, Rain Garden", Insignificant," Heavy Shade, Wet Soil",,,,,
Carex radiata, eastern star sedge , Rush or Sedge, Cyperaceae, Central and eastern North America, 4 to 8, 2.00 to 2.50 feet, 1.50 to 2.00 feet, April to May, Yellowish-green, Part shade, Medium to wet, Low," Ground Cover, Naturalize, Rain Garden", Showy, Wet Soil,, Evergreen,,, Winter Interest
Carex retroflexa, reflexed sedge , Rush or Sedge, Cyperaceae, Eastern North America, 5 to 9, 0.50 to 1.00 feet, 0.75 to 1.25 feet, May to June, Flowers not showy, Full sun to part shade, Dry to medium, Low," Ground Cover, Naturalize", Insignificant," Drought, Heavy Shade, Dry Soil",,,,,
Carex squarrosa, squarrose sedge , Rush or Sedge, Cyperaceae, Eastern and central United States, 4 to 6, 1.50 to 2.00 feet, 1.00 to 2.00 feet, April to September, Green, Full sun to part shade, Wet, Low," Water Plant, Rain Garden", Insignificant," Deer, Erosion, Wet Soil",,,,,
Carex stricta, tussock sedge , Rush or Sedge, Cyperaceae, Central United States, 3 to 8, 1.00 to 3.00 feet, 1.00 to 2.00 feet, May to June, Reddish-brown, Full sun to part shade, Medium to wet, Low," Water Plant, Naturalize, Rain Garden", Showy," Deer, Erosion",, Evergreen,,, Winter Interest
