,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"ageratina altissima
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17",Perennials,Eupatorium - Joe-Pye Weeds,Partial Sun,"Summer (Mid,Late)Fall",3' – 5' (90cm – 150cm),2' – 4' (60cm – 120cm),"Low, Average",Low,"Chalk, Clay, Loam","Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"48"" (120cm)",2 – 8 What's My Zone?
"alnus serrulata
",4 – 9 What's My Zone?,,"Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",10' – 20' (3m – 6m),8' – 15' (240cm – 4.5m),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,Birds,,
"amelanchier arborea
",4 – 9 What's My Zone?,,"Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",15' – 25' (4.5m – 7.5m),15' – 25' (4.5m – 7.5m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil","Beds and Borders, Ponds and Streams","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" – 300"" (450cm – 750cm)",4 – 9 What's My Zone?
"amelanchier canadensis
",4 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",25' – 30' (7.5m – 9m),15' – 20' (4.5m – 6m),"Low, Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Georgia, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Clay Soil, Dry Soil, Wet Soil","Banks and Slopes, Hedges and Screens, Ponds and Streams","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" – 240"" (450cm – 600cm)",1 – 7 What's My Zone?
"amelanchier laevis
",4 – 8 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",15' – 25' (4.5m – 7.5m),15' – 25' (4.5m – 7.5m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Hedges and Screens, Rain Gardens","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" – 300"" (450cm – 750cm)",3 – 9 What's My Zone?
"amelanchier stolonifera
",4 – 8 What's My Zone?,,Shrubs,Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",4' – 5' (120cm – 150cm),4' – 5' (120cm – 150cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil","Beds and Borders, Hedges and Screens","Informal and Cottage, Prairie and Meadow",,Birds,"48"" – 60"" (120cm – 150cm)",
"amorpha fruticosa
",4 – 9 What's My Zone?,,Shrubs,,Full Sun,Spring (Late)Summer (Early),4' – 12' (120cm – 3.6m),6' – 15' (180cm – 4.5m),Low,Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds",,
"amsonia ciliata
",5 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Amsonia - Bluestar,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early)Fall",2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, North Carolina, South Carolina, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" – 36"" (60cm – 90cm)",
"andropogon gerardii
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",4' – 6' (120cm – 180cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Colorado, Montana, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil","Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
"andropogon glomeratus
",5 – 9 What's My Zone?,,Ornamental Grasses,,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 6' (90cm – 180cm),2' – 3' (60cm – 90cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Dried Arrangements, Showy","United States, California, Midwest, Illinois, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Deer, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
"andropogon ternarius
",6 – 10 What's My Zone?,,Ornamental Grasses,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 4' (60cm – 120cm),1' – 2' (30cm – 60cm),Low,Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
"andropogon virginicus
",5 – 10 What's My Zone?,,Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",2' – 4' (60cm – 120cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
"antennaria plantaginifolia
",3 – 8 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early)","6"" – 1' (15cm – 30cm)","10"" – 2' (25cm – 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil, Rocky Soil","Banks and Slopes, Ground Covers","Gravel and Rock Garden, Prairie and Meadow",,"Birds, Butterflies","15"" – 18"" (37cm – 45cm)",
"apios americana
",4 – 9 What's My Zone?,,Climbers,,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",8' – 15'  (240cm – 4.5m),,Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Arbors, Pergolas, Trellises, Patio and Containers, Wall-Side Borders, Walls and Fences","City and Courtyard, Informal and Cottage","2"" – 3"" (5cm – 7cm)",Butterflies,,
"apocynum cannabinum
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21",Perennials,,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)",2' – 6' (60cm – 180cm),2' – 3' (60cm – 90cm),"Average, High",Average,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Drought,,"Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" – 36"" (60cm – 90cm)",
"aralia spinosa
",4 – 9 What's My Zone?,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",10' – 20' (3m – 6m),6' – 10' (180cm – 3m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Rocky Soil, Salt",,"Informal and Cottage, Prairie and Meadow",,Birds,"120"" (300cm)",
"argemone albiflora
",7 – 9 What's My Zone?,,Annuals,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid)",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,Sand,"Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Iowa, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, Texas","Deer, Drought",,"Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,,"24"" (60cm)",
"argemone mexicana
",2 – 11 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Annuals,,Full Sun,"Spring (Mid,Late)Summer (Early)","8"" – 2' (20cm – 60cm)","4"" (10cm)",Low,Low,Sand,"Acid, Neutral",Well-Drained,Showy,,"Deer, Drought",,"Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,,"4"" (10cm)",1 – 11 What's My Zone?
"arisaema triphyllum
",4 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Bulbs, Perennials",Arisaema - Jack in the Pulpit,"Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,,"Informal and Cottage, Prairie and Meadow",,Birds,,1 – 9 What's My Zone?
