,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Aesculus pavia,5 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-",12' to 15' (3.6m to 4.5m),12' to 15' (3.6m to 4.5m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil","Hedges and Screens, Small Gardens",Prairie and Meadow,,Hummingbirds,,5 to 9
Agastache nepetoides,2 to 8,,Perennials,Agastache - Hyssops,Full Sun,"Summer (Mid,Late)-Fall",4' to 6' (120cm to 180cm),1' to 3' (30cm to 90cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" to 36"" (60cm to 90cm)",
Ageratina altissima,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17",Perennials,Eupatorium - Joe-Pye Weeds,Partial Sun,"Summer (Mid,Late)-Fall",3' to 5' (90cm to 150cm),2' to 4' (60cm to 120cm),"Low, Average",Low,"Chalk, Clay, Loam","Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"48"" (120cm)",2 to 8
Alnus serrulata,4 to 9,,"Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",10' to 20' (3m to 6m),8' to 15' (240cm to 4.5m),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,Birds,,
Amelanchier arborea,4 to 9,,"Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",15' to 25' (4.5m to 7.5m),15' to 25' (4.5m to 7.5m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil","Beds and Borders, Ponds and Streams","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" to 300"" (450cm to 750cm)",4 to 9
Amelanchier canadensis,4 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",25' to 30' (7.5m to 9m),15' to 20' (4.5m to 6m),"Low, Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Georgia, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Clay Soil, Dry Soil, Wet Soil","Banks and Slopes, Hedges and Screens, Ponds and Streams","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" to 240"" (450cm to 600cm)",1 to 7
Amelanchier laevis,4 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Shrubs, Trees",Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",15' to 25' (4.5m to 7.5m),15' to 25' (4.5m to 7.5m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Hedges and Screens, Rain Gardens","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,"180"" to 300"" (450cm to 750cm)",3 to 9
Amelanchier stolonifera,4 to 8,,Shrubs,Amelanchier - Serviceberries,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",4' to 5' (120cm to 150cm),4' to 5' (120cm to 150cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil","Beds and Borders, Hedges and Screens","Informal and Cottage, Prairie and Meadow",,Birds,"48"" to 60"" (120cm to 150cm)",
Amorpha fruticosa,4 to 9,,Shrubs,,Full Sun,Spring (Late)-Summer (Early)-,4' to 12' (120cm to 3.6m),6' to 15' (180cm to 4.5m),Low,Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,"Butterflies, Hummingbirds",,
Amsonia ciliata,5 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Amsonia - Bluestar,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early)-Fall",2' to 3' (60cm to 90cm),2' to 3' (60cm to 90cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, North Carolina, South Carolina, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" to 36"" (60cm to 90cm)",
Andropogon gerardii,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",4' to 6' (120cm to 180cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Colorado, Montana, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil","Banks and Slopes, Beds and Borders","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
Andropogon glomeratus,5 to 9,,Ornamental Grasses,,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",3' to 6' (90cm to 180cm),2' to 3' (60cm to 90cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Dried Arrangements, Showy","United States, California, Midwest, Illinois, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Deer, Wet Soil","Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
Andropogon ternarius,6 to 10,,Ornamental Grasses,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 4' (60cm to 120cm),1' to 2' (30cm to 60cm),Low,Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Showy","United States, Midwest, Illinois, Indiana, Kansas, Missouri, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
Andropogon virginicus,5 to 10,,Ornamental Grasses,,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",2' to 4' (60cm to 120cm),2' to 3' (60cm to 90cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" (90cm)",
Antennaria plantaginifolia,3 to 8,,Perennials,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early)-","6"" to 1' (15cm to 30cm)","10"" to 2' (25cm to 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Drought, Dry Soil, Rocky Soil","Banks and Slopes, Ground Covers","Gravel and Rock Garden, Prairie and Meadow",,"Birds, Butterflies","15"" to 18"" (37cm to 45cm)",
Apios americana,4 to 9,,Climbers,,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",8' to 15'  (240cm to 4.5m),,Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Arbors, Pergolas, Trellises, Patio and Containers, Wall-Side Borders, Walls and Fences","City and Courtyard, Informal and Cottage","2"" to 3"" (5cm to 7cm)",Butterflies,,
Apocynum cannabinum,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21",Perennials,,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-",2' to 6' (60cm to 180cm),2' to 3' (60cm to 90cm),"Average, High",Average,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Drought,,"Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" to 36"" (60cm to 90cm)",
Aralia spinosa,4 to 9,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",10' to 20' (3m to 6m),6' to 10' (180cm to 3m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Delaware, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Rocky Soil, Salt",,"Informal and Cottage, Prairie and Meadow",,Birds,"120"" (300cm)",
Argemone albiflora,7 to 9,,Annuals,,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid)-",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,Sand,"Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Iowa, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, Texas","Deer, Drought",,"Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,,"24"" (60cm)",
Argemone mexicana,2 to 11,"2, 2A, 2B, 3, 3A, 3B, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Annuals,,Full Sun,"Spring (Mid,Late)-Summer (Early)-","8"" to 2' (20cm to 60cm)","4"" (10cm)",Low,Low,Sand,"Acid, Neutral",Well-Drained,Showy,,"Deer, Drought",,"Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,,"4"" (10cm)",1 to 11
Arisaema triphyllum,4 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6","Bulbs, Perennials",Arisaema - Jack in the Pulpit,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,,"Informal and Cottage, Prairie and Meadow",,Birds,,1 to 9
Aristolochia macrophylla,5 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Climbers,,"Full Sun, Partial Sun",Spring (Late)-Summer (Early)-,15' to 30' (4.5m to 9m),15' to 20' (4.5m to 6m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Michigan, Northeast, Connecticut, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Arbors, Pergolas, Trellises, Wall-Side Borders, Walls and Fences",City and Courtyard,,Butterflies,,4 to 8
