,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
AEFL,Spring and Summer,,None,High,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Moderate,65.0,No,No,No,None,Yes,Erect,Severe,No,No,Yes,None,Medium,Yes,Low,High,Low,150,None,High,7.0,5.0,700,300,84,39,36,None,Tolerant,-18,Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,28,Slow,High,No,None,No,No,No,No,No,Yes,Low,,No,No,,Yes,No,30,Long,Medium
AEGL,Spring and Summer,,None,High,No,Yes,No,Green,Yes,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Rapid,68.0,No,No,No,None,Yes,Erect,Severe,No,Yes,Yes,None,Medium,Yes,Medium,Medium,Low,145,None,Medium,7.1,5.0,700,300,60,30,36,None,Tolerant,-33,Mid Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,58,Slow,High,No,None,No,No,No,Yes,No,Yes,Low,Low,No,No,,Yes,No,25,Short,Medium
AEPA,Spring and Summer,,None,High,Yes,No,No,Red,Yes,Yellow-Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Moderate,25.0,No,No,No,None,Yes,Erect,Severe,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,180,Low,High,7.0,3.7,1100,700,65,36,20,None,Tolerant,-20,Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,48,Slow,High,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,12,Long,Medium
AESY,Spring and Summer,,None,High,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Moderate,65.0,No,No,No,None,Yes,Erect,Severe,No,No,Yes,Low,Medium,Yes,Low,High,Low,200,None,High,7.0,5.0,700,300,80,40,36,None,Intermediate,7,Mid Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,40,Slow,High,No,None,No,No,No,No,No,Yes,Low,,No,No,,No,No,30,Long,Medium
AGGR2,Spring,Moderate,None,,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Single Stem,Moderate,5.9,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Low,Low,None,120,None,Medium,7.0,4.5,11000,2700,55,15,6,None,Intermediate,-43,Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,250000,Slow,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
AGPA6,Spring and Summer,,None,Low,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Green,No,Multiple Stem,Rapid,6.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Low,Yes,Low,Low,Low,160,Low,High,8.0,6.0,5000,2013,50,24,6,None,Intermediate,-33,Mid Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,288000,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Medium,No,No,,Short,
AGRO3,Spring,,None,,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Single Stem,Moderate,2.3,No,No,No,None,No,Erect,None,Yes,No,Yes,High,Medium,No,Low,Low,None,120,None,Medium,7.0,4.5,11000,2700,50,35,6,None,Intermediate,-33,Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,250000,Slow,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
AGST,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,6.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,None,No,Medium,Medium,Low,140,None,Medium,7.5,5.5,,,45,8,12,None,Tolerant,-43,Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,250000,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Short,
AGHY,"Spring, Summer, Fall",Moderate,None,Low,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,3.5,No,No,Yes,None,No,Erect,None,No,Yes,Yes,High,None,No,Low,Medium,High,130,None,High,7.5,5.0,,,45,20,8,Medium,Intermediate,-33,Mid Spring,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,8500000,Slow,Low,No,Moderate,No,No,Yes,No,No,No,Low,High,No,No,Low,No,No,,Short,
AGPE,"Spring, Summer, Fall",Moderate,None,Low,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.5,No,No,No,None,No,Decumbent,None,No,Yes,Yes,High,None,No,Low,Medium,High,120,None,High,7.5,5.5,,,56,32,8,None,Intermediate,-33,Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,8000000,Slow,Low,No,Moderate,No,No,Yes,No,No,No,Low,Medium,No,No,Low,No,No,,Short,
AGSC5,Spring,Slow,None,Medium,No,Yes,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,2.5,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,Low,No,Low,Low,Medium,90,None,Medium,8.0,6.0,,,60,14,12,Low,Intolerant,-38,Early Spring,Contracting Only,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,5000000,Slow,Medium,No,None,No,No,Yes,No,No,No,Medium,Medium,No,No,Low,No,No,,Moderate,
ALSU,Spring and Summer,Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Moderate,0.5,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,Yes,None,Medium,High,90,None,High,7.0,5.0,4800,1700,60,35,8,None,Intolerant,-33,Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,825000,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Moderate,
ALSE2,Spring and Summer,,None,High,No,No,No,,No,Green,Dense,Porous,Coarse,Brown,No,Multiple Stem,Rapid,30.0,No,No,No,Medium,No,Erect,None,Yes,Yes,Yes,High,Low,Yes,Low,Medium,High,120,None,High,7.0,5.0,2700,1200,60,32,24,None,Intolerant,-23,Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,400000,Moderate,Low,No,Slow,No,No,No,No,No,No,Medium,Low,No,No,Low,No,No,12,Moderate,Medium
ALCA4,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,1.7,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Low,Low,100,None,Low,7.5,4.0,43000,11000,60,15,12,None,Intolerant,-43,Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,Yes,No,556000,Slow,Low,No,None,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,,
AMTU,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Black,No,Single Stem,Rapid,6.6,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,None,Low,None,120,None,High,8.0,5.0,3400,2700,60,15,12,None,Intolerant,-33,Summer,No Known Source,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,900000,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,,
AMAR3,Spring and Summer,,None,Medium,No,Yes,No,White,Yes,Dark Green,Dense,Porous,Fine,Red,Yes,Single Stem,Slow,36.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Medium,None,Yes,Low,Medium,Medium,120,Low,Medium,7.5,4.8,1700,700,80,26,20,Low,Tolerant,-47,Mid Spring,Contracting Only,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,79832,Moderate,Low,No,None,Yes,No,No,No,No,No,Low,Low,Yes,No,,Yes,No,25,Moderate,
AMCA4,Spring and Summer,,None,Medium,No,Yes,Yes,White,Yes,Green,Dense,Porous,Coarse,Purple,Yes,Multiple Stem,Moderate,23.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,High,Yes,Low,Medium,High,110,High,Medium,7.5,5.5,1800,700,60,30,20,Medium,Intermediate,-33,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,95708,Slow,High,No,Moderate,Yes,No,No,No,No,Yes,High,Medium,Yes,No,High,No,No,20,Long,
AMLA,Spring and Summer,,None,High,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Purple,Yes,Multiple Stem,Moderate,35.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Medium,Medium,Yes,Medium,Low,Medium,85,Low,Medium,7.0,4.8,1200,700,60,34,30,Low,Tolerant,-38,Early Spring,No Known Source,High,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,84000,Slow,Low,No,None,Yes,No,No,No,No,Yes,Medium,Low,No,No,Low,No,No,30,Short,Medium
AMOB2,Spring,,None,High,Yes,Yes,No,White,Yes,Dark Green,Moderate,Porous,Medium,Blue,Yes,Multiple Stem,Moderate,10.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,Medium,Medium,180,Low,Medium,7.0,5.0,1700,700,90,30,24,None,Intolerant,-23,Early Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,62000,Slow,High,No,None,No,No,No,No,No,Yes,,,No,No,,No,No,10,Long,
AMCO,Spring,,None,High,No,No,No,Purple,Yes,Green,Porous,Porous,Medium,,No,Single Crown,Moderate,1.6,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Medium,Medium,Low,120,None,Medium,5.9,4.0,,,60,16,12,Low,Intolerant,-38,Indeterminate,No Known Source,Low,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,600000,Slow,Medium,No,None,No,No,No,No,No,No,,High,No,No,,No,No,,,
AMFR,Spring and Summer,,None,High,Yes,No,No,Purple,No,Green,Dense,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,15.0,No,No,No,Medium,No,Climbing,Slight,Yes,No,Yes,None,Medium,Yes,Medium,Low,Low,100,Low,Low,8.5,5.0,2700,700,65,10,24,Low,Intolerant,-38,Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,77000,Rapid,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Medium,No,No,6,Moderate,
AMGL2,Spring and Summer,,None,High,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Moderate,16.0,No,No,No,Medium,Yes,Erect,Slight,Yes,No,Yes,None,High,Yes,Medium,Low,High,150,None,Medium,7.0,4.7,2700,1200,60,32,20,None,Intermediate,-3,Mid Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,64000,Slow,Medium,No,None,No,No,No,No,No,No,Medium,Low,No,No,Low,No,No,16,Long,
AMCO2,Spring and Summer,,None,High,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Black,No,Single Crown,Moderate,2.0,No,No,No,None,Yes,Climbing,None,Yes,Yes,Yes,Low,Medium,No,Low,Medium,Medium,145,None,Medium,7.4,5.2,3450,1200,60,32,12,None,Tolerant,-8,Late Spring,No Known Source,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Low,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,Low,No,No,,Moderate,
ANGE,Summer,Moderate,Low,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Moderate,6.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,High,No,High,Low,High,155,None,Low,7.5,6.0,,,55,12,20,Medium,Intolerant,-46,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,144240,Slow,Low,No,Slow,No,No,Yes,No,No,No,Medium,High,No,No,Medium,No,No,,Long,
ANGL2,Summer,Moderate,None,Medium,No,Yes,No,White,No,Green,Dense,Moderate,Fine,Brown,No,Bunch,Moderate,6.3,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,High,None,No,Low,Low,Medium,160,None,High,6.3,5.0,18000,11000,70,35,12,Low,Intolerant,-23,Late Summer,Routinely Available,High,Fall,Winter,Yes,No,No,No,No,No,Yes,No,Yes,No,205000,Moderate,High,No,None,No,No,Yes,No,No,Yes,Medium,Low,No,No,Low,No,No,,Moderate,
ANTE2,Summer,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Fine,Yellow,No,Bunch,Moderate,3.9,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Low,Medium,140,None,Low,7.5,4.0,11000,3400,60,20,10,None,Tolerant,-18,Late Summer,No Known Source,Medium,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,216000,Slow,Medium,No,None,No,No,No,No,No,No,High,High,No,No,Low,No,No,,Moderate,
ANVI2,Summer,Slow,None,High,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,3.0,No,No,No,None,No,Erect,None,No,Yes,Yes,None,High,No,High,Low,High,135,None,Medium,7.0,4.9,,,45,30,14,Low,Intolerant,-18,Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,800000,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
APAM,Spring and Summer,Slow,None,Low,No,No,No,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,1.0,No,No,No,Medium,No,Climbing,None,Yes,Yes,Yes,High,High,No,Low,Medium,Low,140,None,Medium,7.5,6.0,10000,2700,55,28,8,None,Tolerant,-23,Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,Yes,,Slow,Medium,No,None,No,No,Yes,No,No,No,Medium,Medium,Yes,No,Medium,No,No,,Moderate,
APCA,Spring and Summer,Slow,None,,No,No,No,White,No,Green,Porous,Porous,Medium,White,No,Single Stem,Moderate,3.3,No,No,No,None,No,Erect,Severe,Yes,Yes,Yes,Medium,Medium,No,Medium,Medium,None,100,None,High,7.0,4.5,11000,3100,60,15,12,None,Intermediate,-43,Summer,No Known Source,High,Summer,Fall,No,Yes,No,No,No,No,Yes,No,No,No,500000,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
ARSP2,Spring and Summer,,None,High,Yes,No,No,White,Yes,Green,Porous,Porous,Coarse,Black,No,Multiple Stem,Moderate,20.0,No,No,No,None,Yes,Erect,Slight,Yes,Yes,Yes,Low,High,Yes,Low,High,High,160,None,High,6.6,4.8,1700,700,80,35,30,None,Intolerant,-25,Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,131000,Slow,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,20,Moderate,
ARTR,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Dense,Dense,Coarse,Red,Yes,Rhizomatous,Moderate,1.5,Yes,No,No,None,No,Erect,Slight,Yes,No,Yes,Medium,Medium,No,Low,High,Low,175,None,High,7.0,4.8,11000,4800,50,34,8,None,Tolerant,-18,Early Summer,Routinely Available,Low,Summer,Summer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,110000,Slow,Low,No,Slow,No,No,No,No,No,No,Low,Low,No,No,Low,No,No,,Moderate,
ARAR7,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Red,Yes,Colonizing,Moderate,5.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Low,Yes,Low,Medium,Medium,130,Low,High,7.5,5.5,2700,700,60,34,20,Low,Intolerant,-18,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,256000,Slow,Low,No,Moderate,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,5,Moderate,
ARME6,,,None,Medium,No,Yes,No,White,Yes,Red,Moderate,Moderate,Medium,Blue,No,Thicket Forming,,6.0,No,No,No,None,No,Erect,Slight,Yes,No,Yes,Medium,,No,Medium,,,88,,,6.5,4.4,1280,320,80,24,24,,Tolerant,24,Spring,,,Summer,Fall,No,No,No,No,No,Yes,No,No,No,No,256000,Moderate,Medium,No,,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,15,Short,
ARGI,Spring,Rapid,None,High,No,Yes,No,,No,Dark Green,Dense,Dense,Medium,,No,Rhizomatous,Rapid,25.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Medium,Medium,High,180,High,Medium,6.9,5.0,7200,3700,100,24,18,Low,Intolerant,-23,,Routinely Available,,,,No,Yes,No,Yes,No,Yes,No,No,No,No,,None,,No,Rapid,No,No,Yes,No,No,Yes,Medium,Medium,No,No,Low,No,No,,Long,
ARTE4,Spring and Summer,Rapid,None,Medium,No,No,Yes,Green,No,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,25.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,None,No,Low,Low,High,250,Low,High,7.0,4.5,7200,3700,60,45,12,None,Intolerant,-3,Summer,No Known Source,Low,Summer,Fall,No,Yes,No,Yes,Yes,No,No,No,No,No,,Slow,Low,No,Rapid,No,No,No,No,No,Yes,High,High,No,No,Medium,No,No,,Moderate,
ASIN,Spring,Slow,None,,No,No,Yes,Red,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,4.9,No,No,No,None,No,Erect,Moderate,No,Yes,Yes,High,Medium,No,None,Medium,Low,107,None,High,8.0,5.0,7200,3450,65,15,18,None,Intolerant,-38,Fall,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,153761,Slow,Low,No,Slow,No,No,No,No,No,No,,Low,No,No,Low,No,No,,Moderate,
ASTU,Spring and Summer,Slow,None,Low,No,No,No,Orange,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,2.0,No,No,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Low,High,135,None,Low,6.8,4.8,7200,3450,45,28,16,None,Intolerant,-33,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,70000,Slow,Low,No,None,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,,Moderate,
ASTR,Spring and Summer,,None,High,Yes,Yes,No,Purple,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Single Stem,Slow,25.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Low,Medium,Yes,Low,High,Medium,160,Low,Medium,7.2,4.7,4800,3400,80,36,20,None,Tolerant,-27,Mid Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,697,Slow,Medium,No,None,Yes,No,No,No,No,Yes,Low,Low,Yes,No,Low,No,No,25,Short,Low
