Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
EUCA2,,Eucalyptus camaldulensis Dehnh.,river redgum
EUEN,,Eucephalus engelmannii (D.C. Eaton) Greene,Engelmann's aster
EUFI14,,Eutrochium fistulosum (Barratt) E.E. Lamont,trumpetweed
EUFI14,EUFI,Eupatorium fistulosum Barratt,
EUFO5,,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper
EUGL,,Eucalyptus globulus Labill.,Tasmanian bluegum
EUGL19,,Eurybia glauca (Nutt.) G.L. Nesom,gray aster
EUGR12,,Eucalyptus grandis W. Hill ex Maid.,grand eucalyptus
EUIN9,,Eurybia integrifolia (Nutt.) G.L. Nesom,thickstem aster
EULE13,,Eucalyptus leucoxylon F. Muell.,white ironbark
EUMA23,,Eucalyptus maculata Hook.,spotted gum
EUMA27,,Eurybia macrophylla (L.) Cass.,bigleaf aster
EUMAM4,,Eutrochium maculatum (L.) E.E. Lamont var. maculatum,spotted joe pye weed
EUMAM4,EUMAM,Eupatorium maculatum L. var. maculatum,
EUOC4,,Euthamia occidentalis Nutt.,western goldentop
EUPA21,,Euonymus patens Rehder,spindle tree
EURA14,,Eubotrys racemosus (L.) Nutt.,swamp doghobble
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,
EURH,,Eugenia rhombea (Berg) Krug & Urb.,red stopper
EURO2,,Eucalyptus robusta Sm.,swampmahogany
EUSA,,Eucalyptus saligna Sm.,Sydney bluegum
FAES2,,Fagopyrum esculentum Moench,buckwheat
FAGR,,Fagus grandifolia Ehrh.,American beech
FAPA,,Fallugia paradoxa (D. Don) Endl. ex Torr.,Apache plume
FATA,,Fagopyrum tataricum (L.) Gaertn.,Tartary buckwheat
FEAR2,,Festuca arizonica Vasey,Arizona fescue
FEBR7,,Festuca brevipila Tracey,hard fescue
FEBR7,FETR3,"Festuca trachyphylla (Hack.) Krajina, nom. illeg.",
FECA,,Festuca californica Vasey,California fescue
FECA4,,Festuca campestris Rydb.,rough fescue
FEHE2,,Festuca heteromalla Pourr.,varioushair fescue
FEID,,Festuca idahoensis Elmer,Idaho fescue
FEIDR2,,Festuca idahoensis Elmer ssp. roemeri (Pavlick) S. Aiken,Roemer's fescue
FEIDR2,FERO,Festuca roemeri (Pavlick) Alexeev,
FEOC,,Festuca occidentalis Hook.,western fescue
FEOV,,Festuca ovina L.,sheep fescue
FERU,,Fendlera rupicola A. Gray,cliff fendlerbush
FERU2,,Festuca rubra L.,red fescue
FESU,,Festuca subulata Trin.,bearded fescue
FESU3,,Festuca subverticillata (Pers.) Alexeev,nodding fescue
FETH,,Festuca thurberi Vasey,Thurber's fescue
FEVI,,Festuca viridula Vasey,greenleaf fescue
FEWI,,Ferocactus wislizeni (Engelm.) Britton & Rose,candy barrelcactus
FIAM,,Ficus americana Aubl.,Jamaican cherry fig
FIAM,FISI3,Ficus sintenisii Warb.,
FICI,,Ficus citrifolia Mill.,wild banyantree
FICI,FILA2,Ficus laevigata Vahl,
FLCE,,Flourensia cernua DC.,American tarwort
FOAC,,Forestiera acuminata (Michx.) Poir.,eastern swampprivet
FOGA,,Fothergilla gardenii L.,dwarf witchalder
FOIN3,,Forsythia ×intermedia Zabel [suspensa × viridissima],showy forsythia
FOPUP,,Forestiera pubescens Nutt. var. pubescens,stretchberry
FOSP2,,Fouquieria splendens Engelm.,ocotillo
FOSU,,Forsythia suspensa (Thunb.) Vahl,weeping forsythia
FRAL,,Franklinia alatamaha W. Bartram ex Marshall,Franklin tree
FRAL4,,Frangula alnus Mill.,glossy buckthorn
FRAM2,,Fraxinus americana L.,white ash
FRAN2,,Fraxinus anomala Torr. ex S. Watson,singleleaf ash
FRBEB,,Frangula betulifolia (Greene) V. Grub. ssp. betulifolia,beechleaf frangula
FRCA13,,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn
FRCA3,,Fraxinus caroliniana Mill.,Carolina ash
FRCA6,,Fremontodendron californicum (Torr.) Coville,California flannelbush
FRCAC5,,Frangula californica (Eschsch.) A. Gray ssp. californica,California buckthorn
FRCH,,Fragaria chiloensis (L.) Mill.,beach strawberry
FRLA,,Fraxinus latifolia Benth.,Oregon ash
FRNI,,Fraxinus nigra Marshall,black ash
FRPE,,Fraxinus pennsylvanica Marshall,green ash
FRPR,,Fraxinus profunda (Bush) Bush,pumpkin ash
FRPU2,,Fritillaria pudica (Pursh) Spreng.,yellow fritillary
FRPU7,,Frangula purshiana (DC.) A. Gray,Cascara buckthorn
FRVE2,,Fraxinus velutina Torr.,velvet ash
FUTU,,Furcraea tuberosa (Mill.) W.T. Aiton,female karata
GAAP2,,Galium aparine L.,stickywilly
GAAR,,Gaillardia aristata Pursh,blanketflower
GAAS2,,Galium asprellum Michx.,rough bedstraw
GABA,,Gaylussacia baccata (Wangenh.) K. Koch,black huckleberry
GABO2,,Galium boreale L.,northern bedstraw
GADU,,Gaylussacia dumosa (Andrews) Torr. & A. Gray,dwarf huckleberry
GAFR2,,Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.,blue huckleberry
GAHI2,,Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry
GAOB,,Galium obtusum Bigelow,bluntleaf bedstraw
GAOR,,Galium oreganum Britton,Oregon bedstraw
GAPR2,,Gaultheria procumbens L.,eastern teaberry
GAPU,,Gaillardia pulchella Foug.,Indian blanket
GASH,,Gaultheria shallon Pursh,salal
GATI,,Galium tinctorium (L.) Scop.,stiff marsh bedstraw
GATR2,,Galium trifidum L.,threepetal bedstraw
GAWR3,,Garrya wrightii Torr.,Wright's silktassel
GEAN,,Gentiana andrewsii Griseb.,closed bottle gentian
GECA,,Gentiana calycosa Griseb.,Rainier pleated gentian
GECA7,,Geum canadense Jacq.,white avens
GECL,,Gentiana clausa Raf.,bottle gentian
GEER2,,Geranium erianthum DC.,woolly geranium
GELA,,Geum laciniatum Murray,rough avens
GEMA4,,Geum macrophyllum Willd.,largeleaf avens
GEOR2,,Geranium oreganum Howell,Oregon geranium
GERI,,Geranium richardsonii Fisch. & Trautv.,Richardson's geranium
GERI2,,Geum rivale L.,purple avens
GEROT,,Geum rossii (R. Br.) Ser. var. turbinatum (Rydb.) C.L. Hitchc.,Ross' avens
GETR,,Geum triflorum Pursh,old man's whiskers
GEVE,,Geum vernum (Raf.) Torr. & A. Gray,spring avens
GEVI2,,Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.,sticky purple geranium
GIBI2,,Ginkgo biloba L.,maidenhair tree
GLAQ,,Gleditsia aquatica Marshall,water locust
GLBO,,Glyceria borealis (Nash) Batchelder,small floating mannagrass
GLCA,,Glyceria canadensis (Michx.) Trin.,rattlesnake mannagrass
GLLE3,,Glycyrrhiza lepidota Pursh,American licorice
GLMA,,Glaux maritima L.,sea milkwort
GLMA4,,Glycine max (L.) Merr.,soybean
GLMA4,GLSO80,"Glycine soja (L.) Merr., non Siebold & Zucc., nom. illeg.",
GLME2,,Glyceria melicaria (Michx.) F.T. Hubbard,melic mannagrass
GLOB,,Glyceria obtusa (Muhl.) Trin.,Atlantic mannagrass
GLSE2,,Gliricidia sepium (Jacq.) Kunth ex Walp.,quickstick
GLST,,Glyceria striata (Lam.) Hitchc.,fowl mannagrass
GLTR,,Gleditsia triacanthos L.,honeylocust
GOLA,,Gordonia lasianthus (L.) Ellis,loblolly bay
GOTO,,Gossypium tomentosum Nutt. ex Seem.,Hawai'ian cotton
GRRO,,Grevillea robusta A. Cunn. ex R. Br.,silkoak
GRSP,,Grayia spinosa (Hook.) Moq.,spiny hopsage
GUGU,,Guarea guidonia (L.) Sleumer,American muskwood
GUOF,,Guaiacum officinale L.,lignum-vitae
GUSA,,Guaiacum sanctum L.,holywood
GUSA2,,Gutierrezia sarothrae (Pursh) Britton & Rusby,broom snakeweed
GYDI,,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree
GYSA,,Gynerium sagittatum (Aubl.) P. Beauv.,wildcane
HACA3,,Halesia carolina L.,Carolina silverbell
HADI3,,Halesia diptera Ellis,two-wing silverbell
HAVI4,,Hamamelis virginiana L.,American witchhazel
HEAL,,Hedysarum alpinum L.,alpine sweetvetch
HEAL5,,Hemarthria altissima (Poir.) Stapf & C.E. Hubbard,limpograss
HEAN2,,Helianthus angustifolius L.,swamp sunflower
HEAN3,,Helianthus annuus L.,common sunflower
HEAR22,,Hesperocyparis arizonica (Greene) Bartel,Arizona cypress
HEAR22,CUAR,Cupressus arizonica Greene,
HEAU,,Helenium autumnale L.,common sneezeweed
HEBO,,Hedysarum boreale Nutt.,Utah sweetvetch
HEBOB2,,Hedysarum boreale Nutt. ssp. boreale var. boreale,Utah sweetvetch
HECO10,,Heteropogon contortus (L.) P. Beauv. ex Roem. & Schult.,tanglehead
HECOC8,,Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata,needle and thread
HECU3,,Heliotropium curassavicum L.,salt heliotrope
HECY2,,Heuchera cylindrica Douglas ex Hook.,roundleaf alumroot
HEDE4,,Helianthus debilis Nutt.,cucumberleaf sunflower
HEFL,,Helenium flexuosum Raf.,purplehead sneezeweed
HEGR4,,Helianthus grosseserratus M. Martens,sawtooth sunflower
HEHE,,Hedera helix L.,English ivy
HEHES,,Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald,smooth oxeye
HELE4,,×Hesperotropsis leylandii (A.B. Jacks. & Dallim.) Garland & Gerry Moore [Hesperocyparis macrocarpa × Callitropsis nootkatensis],Leyland cypress
HELE4,CULE2,×Cupressocyparis leylandii (Dallim. & A.B. Jacks.) Dallim.,
HEMA2,,Helianthus maximiliani Schrad.,Maximilian sunflower
HEMA3,,Hesperis matronalis L.,dames rocket
HEMA80,,Heracleum maximum W. Bartram,common cowparsnip
HEMER,,Hemerocallis L.,daylily
HENU,,Helianthus nuttallii Torr. & A. Gray,Nuttall's sunflower
HESA3,,Heuchera sanguinea Engelm.,coralbells
HESP11,,Hesperostipa spartea (Trin.) Barkworth,porcupinegrass
HESQ,,Henriettea squamulosum (Cogn.) W.S. Judd,jusillo
HESQ,CASQ,Calycogonium squamulosum Cogn.,
HESU,,Hedysarum sulphurescens Rydb.,white sweetvetch
HETU,,Helianthus tuberosus L.,Jerusalem artichoke
HEUN,,Helianthella uniflora (Nutt.) Torr. & A. Gray,oneflower helianthella
HEVI4,,Heterotheca villosa (Pursh) Shinners,hairy false goldenaster
HEVIV,,Heterotheca villosa (Pursh) Shinners var. villosa,hairy false goldenaster
HEWH,,Hesperoyucca whipplei (Torr.) Baker,chaparral yucca
HEWH,YUWH,Yucca whipplei Torr.,
HIAC,,Hibiscus aculeatus Walter,comfortroot
HIAL2,,Hieracium albiflorum Hook.,white hawkweed
HIBE,,Hilaria belangeri (Steud.) Nash,curly-mesquite
HILA2,,Hibiscus laevis All.,halberdleaf rosemallow
HIMO,,Hibiscus moscheutos L.,crimsoneyed rosemallow
HIOD,,Hierochloe odorata (L.) P. Beauv.,sweetgrass
HIRH80,,Hippophae rhamnoides L.,seaberry
HISC2,,Hieracium scouleri Hook.,Scouler's woollyweed
HIVU2,,Hippuris vulgaris L.,common mare's-tail
HOBR2,,Hordeum brachyantherum Nevski,meadow barley
HOBRC2,,"Hordeum brachyantherum Nevski ssp. californicum (Covas & Stebbins) Bothmer, N. Jacobsen & Seberg",California barley
HODI,,Holodiscus discolor (Pursh) Maxim.,oceanspray
HODU,,Holodiscus dumosus (Nutt. ex Hook.) A. Heller,rockspirea
HOLA,,Holcus lanatus L.,common velvetgrass
HOPU,,Hordeum pusillum Nutt.,little barley
HOVU,,Hordeum vulgare L.,common barley
HUCR,,Hura crepitans L.,sandbox tree
HUTO,,Hudsonia tomentosa Nutt.,woolly beachheather
HYAN2,,Hypericum anagalloides Cham. & Schltdl.,tinker's penny
HYAS80,,Hypericum ascyron L.,great St. Johnswort
HYBO2,,Hypericum boreale (Britton) E.P. Bicknell,northern St. Johnswort
HYCA10,,Hypericum calycinum L.,Aaron's beard
HYCA4,,Hydrophyllum capitatum Douglas ex Benth.,ballhead waterleaf
HYCI,,Hypericum cistifolium Lam.,roundpod St. Johnswort
HYCO,,Hymenaea courbaril L.,stinkingtoe
HYCR3,,Hypericum crux-andreae (L.) Crantz,St. Peterswort
HYDE,,Hypericum densiflorum Pursh,bushy St. Johnswort
HYDE2,,Hypericum denticulatum Walter,coppery St. Johnswort
HYFA,,Hypericum fasciculatum Lam.,peelbark St. Johnswort
HYGA,,Hypericum galioides Lam.,bedstraw St. Johnswort
HYGE,,"Hypericum gentianoides (L.) Britton, Sterns & Poggenb.",orangegrass
HYHI2,,Hypoxis hirsuta (L.) Coville,common goldstar
HYLI,,Hymenocallis liriosme (Raf.) Shinners,spring spiderlily
HYMA7,,Hydrangea macrophylla (Thunb.) Ser.,French hydrangea
HYMO,,Hymenoclea monogyra Torr. & A. Gray,singlewhorl burrobrush
HYMU,,Hypericum mutilum L.,dwarf St. Johnswort
HYOC,,Hydrophyllum occidentale (S. Watson) A. Gray,western waterleaf
HYOCO,,Hymenocallis occidentalis (Leconte) Kunth var. occidentalis,northern spiderlily
HYOCO,HYCA9,Hymenocallis caroliniana auct. non (L.) Herbert,
HYPR,,Hypericum prolificum L.,shrubby St. Johnswort
HYPU,,Hypericum punctatum Lam.,spotted St. Johnswort
HYQU,,Hydrolea quadrivalvis Walter,waterpod
HYQU3,,Hydrangea quercifolia W. Bartram,oakleaf hydrangea
IBSE,,Iberis sempervirens L.,evergreen candytuft
ILAM2,,Ilex amelanchier M.A. Curtis ex Chapm.,sarvis holly
ILCA,,Ilex cassine L.,dahoon
ILCO,,Ilex coriacea (Pursh) Chapm.,large gallberry
ILCO80,,Ilex cornuta Lindl. & Paxton,Chinese holly
ILCR2,,Ilex crenata Thunb.,Japanese holly
ILDE,,Ilex decidua Walter,possumhaw
ILGL,,Ilex glabra (L.) A. Gray,inkberry
ILOP,,Ilex opaca Aiton,American holly
ILRI,,Iliamna rivularis (Douglas ex Hook.) Greene,streambank wild hollyhock
ILVE,,Ilex verticillata (L.) A. Gray,common winterberry
ILVO,,Ilex vomitoria Aiton,yaupon
IMCA,,Impatiens capensis Meerb.,jewelweed
IMPA,,Impatiens pallida Nutt.,pale touch-me-not
INHI,,Indigofera hirsuta L.,hairy indigo
INLA,,Inga laurina (Sw.) Willd.,sacky sac bean
INVE,,Inga vera Willd.,river koko
IPAGA3,,Ipomopsis aggregata (Pursh) V.E. Grant ssp. aggregata,scarlet gilia
IPPE,,Ipomoea pes-caprae (L.) R. Br.,bayhops
IRBR,,Iris bracteata S. Watson,Siskiyou iris
IRFU,,Iris fulva Ker Gawl.,copper iris
IRMI,,Iris missouriensis Nutt.,Rocky Mountain iris
IRTE,,Iris tenax Douglas ex Lindl.,toughleaf iris
IRVI,,Iris virginica L.,Virginia iris
ITVI,,Itea virginica L.,Virginia sweetspire
IVFR,,Iva frutescens L.,Jesuit's bark
JAAM,,Jamesia americana Torr. & A. Gray,fivepetal cliffbush
JAOVS,,Jacquemontia ovalifolia (Vahl ex West) Hallier f. ssp. sandwicensis (A. Gray) K.R. Robertson,oval-leaf clustervine
JUAC,,Juncus acuminatus Michx.,tapertip rush
JUAM,,Justicia americana (L.) Vahl,American water-willow
JUAR4,,Juncus articulatus L.,jointleaf rush
JUARL,,Juncus arcticus Willd. ssp. littoralis (Engelm.) Hultén,mountain rush
JUARL,JUBA,Juncus balticus Willd.,
JUBI,,Juncus biflorus Elliott,bog rush
JUBI2,,Juncus biglumis L.,twoflowered rush
JUBR,,Juncus brachycarpus Engelm.,whiteroot rush
JUBR2,,Juncus brachycephalus (Engelm.) Buchenau,smallhead rush
JUBU,,Juncus bufonius L.,toad rush
JUCA3,,Juncus canadensis J. Gay ex Laharpe,Canadian rush
JUCA6,,Juncus castaneus Sm.,chestnut rush
JUCH4,,Juniperus chinensis L.,Chinese juniper
JUCI,,Juglans cinerea L.,butternut
JUCO12,,Juniperus conferta Parl.,shore juniper
JUCO2,,Juncus confusus Coville,Colorado rush
JUCO6,,Juniperus communis L.,common juniper
JUDI,,Juncus dichotomus Elliott,forked rush
JUDR,,Juncus drummondii E. Mey.,Drummond's rush
JUEF,,Juncus effusus L.,common rush
JUEN,,Juncus ensifolius Wikstr.,swordleaf rush
JUHO2,,Juniperus horizontalis Moench,creeping juniper
JUIN2,,Juncus interior Wiegand,inland rush
JULO,,Juncus longistylis Torr.,longstyle rush
JUMA,,Juglans major (Torr.) A. Heller,Arizona walnut
JUMA4,,Juncus marginatus Rostk.,grassleaf rush
JUME,,Juncus megacephalus M.A. Curtis,bighead rush
JUME3,,Juncus mertensianus Bong.,Mertens' rush
JUME4,,Juncus mexicanus Willd. ex Schult. & Schult. f.,Mexican rush
JUMI,,Juglans microcarpa Berl.,little walnut
JUMO,,Juniperus monosperma (Engelm.) Sarg.,oneseed juniper
JUNE,,Juncus nevadensis S. Watson,Sierra rush
JUNI,,Juglans nigra L.,black walnut
JUNO2,,Juncus nodosus L.,knotted rush
JUOC,,Juniperus occidentalis Hook.,western juniper
JUOS,,Juniperus osteosperma (Torr.) Little,Utah juniper
JUPA,,Juncus parryi Engelm.,Parry's rush
JURE2,,Juncus repens Michx.,lesser creeping rush
JURE80,,Juglans regia L.,English walnut
JURO,,Juncus roemerianus Scheele,needlegrass rush
JUSC,,Juncus scirpoides Lam.,needlepod rush
JUSC2,,Juniperus scopulorum Sarg.,Rocky Mountain juniper
JUSE,,Juncus secundus P. Beauv. ex Poir.,lopsided rush
JUSU,,Juncus subcaudatus (Engelm.) Coville & S.F. Blake,woodland rush
JUTE,,Juncus tenuis Willd.,poverty rush
JUTO,,Juncus torreyi Coville,Torrey's rush
JUTR4,,Juncus triglumis L.,three-hulled rush
JUVA2,,Juncus validus Coville,roundhead rush
JUVI,,Juniperus virginiana L.,eastern redcedar
JUVIS,,Juniperus virginiana L. var. silicicola (Small) Silba,southern redcedar
KALA,,Kalmia latifolia L.,mountain laurel
KAMI,,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KAPO,,Kalmia polifolia Wangenh.,bog laurel
KOMA,,Koeleria macrantha (Ledeb.) Schult.,prairie Junegrass
KOPA,,Koelreuteria paniculata Laxm.,goldenrain tree
KRER,,Krameria erecta Willd. ex Schult.,littleleaf ratany
KRLA2,,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
KUST,,Kummerowia stipulacea (Maxim.) Makino,Korean clover
KUST2,,Kummerowia striata (Thunb.) Schindl.,Japanese clover
LAAS,,Lavatera assurgentiflora Kellogg,island mallow
LACA5,,Lachnanthes caroliana (Lam.) Dandy,Carolina redroot
LADE2,,Larix decidua Mill.,European larch
LAHI2,,Lathyrus hirsutus L.,Caley pea
LAIN,,Lagerstroemia indica L.,crapemyrtle
LAJA,,Lathyrus japonicus Willd.,beach pea
LAKA2,,Larix kaempferi (Lam.) Carrière,Japanese larch
LALA,,Larix laricina (Du Roi) K. Koch,tamarack
LALA4,,Lathyrus latifolius L.,perennial pea
LALI2,,Lathyrus littoralis (Nutt.) Endl.,silky beach pea
LALY,,Larix lyallii Parl.,subalpine larch
LAOC,,Larix occidentalis Nutt.,western larch
LAPO3,,Lathyrus polyphyllus Nutt.,leafy pea
LAPU6,,Lablab purpureus (L.) Sweet,hyacinthbean
LARA2,,Laguncularia racemosa (L.) C.F. Gaertn.,white mangrove
LASY,,Lathyrus sylvestris L.,flat pea
LATRA,,Larrea tridentata (DC.) Coville var. arenaria L.D. Benson,creosote bush
LATU,,Lathyrus tuberosus L.,tuberous sweetpea
LEAN3,,Leymus angustus (Trin.) Pilg.,Altai wildrye
LEAR11,,Leymus arenarius (L.) Hochst.,sand ryegrass
LEAX,,Leucothoe axillaris (Lam.) D. Don,coastal doghobble
LEBI2,,Lespedeza bicolor Turcz.,shrub lespedeza
LECA8,,Lespedeza capitata Michx.,roundhead lespedeza
LECI4,,Leymus cinereus (Scribn. & Merr.) Á. Löve,basin wildrye
LECO12,,Leymus condensatus (J. Presl) Á. Löve,giant wildrye
LEDU,,Leptochloa dubia (Kunth) Nees,green sprangletop
LEFL4,,Leymus flavescens (Scribn. & J.G. Sm.) Pilg.,yellow wildrye
LEFO,,Leucothoe fontanesiana (Steud.) Sleumer,highland doghobble
LEFUF,,Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow,bearded sprangletop
LEGL,,Ledum glandulosum Nutt.,western Labrador tea
LEGR,,Ledum groenlandicum Oeder,bog Labrador tea
LEGR23,,Leptosiphon grandiflorus (Benth.) J.M. Porter & L.A. Johnson,largeflower linanthus
LEGR23,LIGR3,Linanthus grandiflorus (Benth.) Greene,
LEHI2,,Lespedeza hirta (L.) Hornem.,hairy lespedeza
LELE10,,Leucaena leucocephala (Lam.) de Wit,white leadtree
LELE2,,Leersia lenticularis Michx.,catchfly grass
LEMI3,,Lemna minor L.,common duckweed
LEMO2,,Lepidium montanum Nutt.,mountain pepperweed
LEMOM2,,Leymus mollis (Trin.) Pilg. ssp. mollis,American dunegrass
LEOR,,Leersia oryzoides (L.) Sw.,rice cutgrass
LEPA11,,Ledum palustre L.,marsh Labrador tea
LERA5,,Leymus racemosus (Lam.) Tzvelev,mammoth wildrye
LERE5,,Leucaena retusa Benth.,littleleaf leadtree
LESA4,,Leymus salinus (M.E. Jones) Á. Löve,saline wildrye
LETH4,,Lespedeza thunbergii (DC.) Nakai,Thunberg's lespedeza
LETR,,Lemna trisulca L.,star duckweed
LETR5,,Leymus triticoides (Buckley) Pilg.,beardless wildrye
LEVA,,Lemna valdiviana Phil.,valdivia duckweed
LEVI2,,Leersia virginica Willd.,whitegrass
LEVI80,,Lespedeza virgata (Thunb.) DC.,wand lespedeza
LEVU,,Leucanthemum vulgare Lam.,oxeye daisy
LIAM,,Ligustrum amurense Carrière,Amur privet
LIBE3,,Lindera benzoin (L.) Blume,northern spicebush
LICA17,,Limonium carolinianum (Walter) Britton,lavender thrift
LICO5,,Listera convallarioides (Sw.) Nutt. ex Elliott,broadlipped twayblade
LIJA,,Ligustrum japonicum Thunb.,Japanese privet
LILE3,,Linum lewisii Pursh,Lewis flax
LIMI6,,Lippia micromera Schauer,Spanish thyme
LIMU6,,Liriope muscari (Decne.) L.H. Bailey,big blue lilyturf
LIOV,,Ligustrum ovalifolium Hassk.,California privet
LIPA9,,Licaria parvifolia (Lam.) Kosterm.,Puerto Rico cinnamon
LIPA9,LISA,Licaria salicifolia (Sw.) Kosterm.,
LIPI7,,Liatris pilosa (Aiton) Willd.,shaggy blazing star
LIPI7,LIPIP,Liatris pilosa (Aiton) Willd. var. pilosa,
LIPU,,Liatris punctata Hook.,dotted blazing star
LIPU11,,Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson,granite prickly phlox
LIPU11,LEPU,Leptodactylon pungens (Torr.) Torr. ex Nutt.,
LIPY,,Liatris pycnostachya Michx.,prairie blazing star
LIRU4,,Lithospermum ruderale Douglas ex Lehm.,western stoneseed
LISC4,,Lilaea scilloides (Poir.) Hauman,awl-leaf lilaea
LISP,,Liatris spicata (L.) Willd.,dense blazing star
LISP2,,Limnobium spongia (Bosc) Rich. ex Steud.,American spongeplant
LISQ2,,Liatris squarrulosa Michx.,Appalachian blazing star
LIST,,Linum striatum Walter,ridged yellow flax
LIST2,,Liquidambar styraciflua L.,sweetgum
LITU,,Liriodendron tulipifera L.,tuliptree
LIVU,,Ligustrum vulgare L.,European privet
LOCA2,,Lobelia cardinalis L.,cardinalflower
LOCA4,,Lomatium canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Canby's biscuitroot
LOCO4,,Lomatium cous (S. Watson) J.M. Coult. & Rose,cous biscuitroot
LOCO6,,Lotus corniculatus L.,bird's-foot trefoil
LOCR,,Lotus crassifolius (Benth.) Greene,big deervetch
LODI,,Lomatium dissectum (Nutt.) Mathias & Constance,fernleaf biscuitroot
LOIN5,,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOJA,,Lonicera japonica Thunb.,Japanese honeysuckle
LOMA3,,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,bigseed biscuitroot
LOMA6,,Lonicera maackii (Rupr.) Herder,Amur honeysuckle
LOPE,,Lolium perenne L.,perennial ryegrass
LOPE80,,Lotus pedunculatus Cav.,big trefoil
LOPEM2,,Lolium perenne L. ssp. multiflorum (Lam.) Husnot,Italian ryegrass
LORI,,Lolium rigidum Gaudin,Wimmera ryegrass
LOSE,,Lonicera sempervirens L.,trumpet honeysuckle
LOTA,,Lonicera tatarica L.,Tatarian honeysuckle
LOTE4,,Lotus tenuis Waldst. & Kit. ex Willd.,narrowleaf trefoil
LOTR2,,Lomatium triternatum (Pursh) J.M. Coult. & Rose,nineleaf biscuitroot
LOUT2,,Lonicera utahensis S. Watson,Utah honeysuckle
LOWR,,Lotus wrightii (A. Gray) Greene,Wright's deervetch
LUAL22,,Lupinus albus L.,white lupine
LUAL3,,Lupinus albicaulis Douglas,sicklekeel lupine
LUAL5,,Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus],Great Basin lupine
LUAN4,,Lupinus angustifolius L.,narrowleaf lupine
LUAR,,Lupinus arboreus Sims,yellow bush lupine
LUAR2,,Lupinus arcticus S. Watson,arctic lupine
LUAR3,,Lupinus argenteus Pursh,silvery lupine
LUCA,,Lupinus caudatus Kellogg,tailcup lupine
LUCO4,,Lupinus covillei Greene,shaggy lupine
LUDE4,,Ludwigia decurrens Walter,wingleaf primrose-willow
LUEL2,,Lupinus elmeri Greene,Elmer's lupine
LUEL4,,Lupinus elegans Kunth,elegant lupine
LUHA,,Lupinus havardii S. Watson,Big Bend bluebonnet
LULA4,,Lupinus latifolius Lindl. ex J. Agardh,broadleaf lupine
LULE2,,Lupinus lepidus Douglas ex Lindl.,Pacific lupine
LULU2,,Lupinus luteolus Kellogg,pale yellow lupine
LULU80,,Lupinus luteus L.,European yellow lupine
LUNE,,Lupinus nevadensis A. Heller,Nevada lupine
LUNO,,Lupinus nootkatensis Donn ex Sims,Nootka lupine
LUPA,,Ludwigia palustris (L.) Elliott,marsh seedbox
LUPA4,,Luzula parviflora (Ehrh.) Desv.,smallflowered woodrush
LUSE4,,Lupinus sericeus Pursh,silky lupine
LUSP4,,Luzula spicata (L.) DC.,spiked woodrush
LUSU5,,Lupinus sulphureus Douglas ex Hook.,sulphur lupine
LYAM,,Lycopus americanus Muhl. ex W.P.C. Barton,American water horehound
LYAN2,,Lycopodium annotinum L.,stiff clubmoss
LYAS,,Lycopus asper Greene,rough bugleweed
LYCA2,,Lycium carolinianum Walter,Carolina desert-thorn
LYLA,,Lysimachia lanceolata Walter,lanceleaf loosestrife
LYLI,,Lyonia ligustrina (L.) DC.,maleberry
LYLU3,,Lyonia lucida (Lam.) K. Koch,fetterbush lyonia
LYPA,,Lycium pallidum Miers,pale desert-thorn
LYRU,,Lycopus rubellus Moench,taperleaf water horehound
LYSA3,,Lycium sandwicense A. Gray,Hawai'i desert-thorn
LYTH2,,Lysimachia thyrsiflora L.,tufted loosestrife
LYVI4,,Lycopus virginicus L.,Virginia water horehound
MAAC,,Magnolia acuminata (L.) L.,cucumber tree
MAAM2,,Mammea americana L.,mammee apple
MAAN9,,Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.,roving sailor
MAAQ2,,Mahonia aquifolium (Pursh) Nutt.,hollyleaved barberry
MAAT80,,Macroptilium atropurpureum (Moc. & Sessé ex DC.) Urb.,purple bushbean
MABI5,,Manilkara bidentata (A. DC.) A. Chev,bulletwood
MABIB,,Machaeranthera bigelovii (A. Gray) Greene var. bigelovii,Bigelow's tansyaster
MAES,,Manihot esculenta Crantz,cassava
MAFL80,,Malus floribunda Siebold ex Van Houtte,Japanese flowering crab apple
